Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Source,Major Genre,Creative Type,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
Letters to Juliet,53032453,68332453,,30000000,May 14 2010,PG/PG-13,Adapted screenplay,Drama,,42,6.3,4576
Green Zone,35053660,84788541,14424476,100000000,Mar 12 2010,R,Adapted screenplay,Drama,Fiction,55,7.1,26759
The Blind Side,255959475,301759475,86139819,35000000,Nov 20 2009,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,66,7.7,42320
Good,27276,27276,,16000000,Dec 31 2008,R,Adapted screenplay,Drama,Fiction,34,6.2,1926
The Salon,139084,139084,,1500000,May 11 2007,PG/PG-13,Adapted screenplay,Comedy,Fiction,12,3.5,308
Amen,274299,274299,,14000000,Jan 24 2003,Other,Adapted screenplay,Drama,,,7.4,5416
Illuminata,836641,836641,,10000000,Aug 06 1999,R,Adapted screenplay,Drama,Fiction,,6.1,1100
The Blue Bird,887000,887000,,1200000,Dec 31 1975,,Adapted screenplay,,Fiction,,4.9,359
Urbania,1032075,1032075,,225000,Sep 15 2000,R,Adapted screenplay,Drama,Fiction,73,6.7,2218
Get Real,1152411,1152411,,2000000,Apr 30 1999,R,Adapted screenplay,Comedy,Fiction,,7.5,6026
Faithful,2104439,2104439,,13000000,Apr 05 1996,R,Adapted screenplay,Comedy,Fiction,7,5.7,989
Hamlet,1577287,2288841,,2000000,May 12 2000,R,Adapted screenplay,Drama,Fiction,71,6,5147
Othello,2844379,2844379,,11000000,Dec 14 1995,R,Adapted screenplay,Drama,Fiction,68,6.9,4289
In the Company of Men,2883661,2883661,,25000,Aug 01 1997,R,Adapted screenplay,Drama,Fiction,89,7.2,7601
East is East,4170647,4170647,,3000000,Apr 14 2000,R,Adapted screenplay,Comedy,Fiction,,6.7,8351
Richard III,2684904,4204857,,9200000,Dec 29 1995,R,Adapted screenplay,Drama,Fiction,95,7.5,6625
Little Voice,4595000,4595000,,6000000,Dec 04 1998,R,Adapted screenplay,Western/Musical,Fiction,83,6.9,8453
Real Women Have Curves,5853194,5853194,,3000000,Oct 18 2002,PG/PG-13,Adapted screenplay,Comedy,Fiction,83,7,4396
Bug,7006708,7006708,1251654,4000000,May 25 2007,R,Adapted screenplay,Drama,Fiction,,6,14164
Hamlet,4501094,7129670,,18000000,Dec 25 1996,PG/PG-13,Adapted screenplay,Drama,Fiction,94,6,5147
A Streetcar Named Desire,8000000,8000000,,1800000,Sep 18 1951,,Adapted screenplay,,,,8.1,33781
Proof,7535331,8284331,9239421,20000000,Sep 16 2005,PG/PG-13,Adapted screenplay,Drama,Fiction,64,6.9,18622
The Importance of Being Earnest,8378141,8378141,,15000000,May 22 2002,PG/PG-13,Adapted screenplay,Comedy,Fiction,58,6.7,9345
Kissing Jessica Stein,7025722,8915268,,1500000,Mar 13 2002,R,Adapted screenplay,Comedy,Fiction,,6.8,8291
The Libertine,4835065,9448623,2836487,22000000,Nov 23 2005,R,Adapted screenplay,Drama,Fiction,,6.4,16266
Henry V,10161099,10161099,,9000000,Nov 08 1989,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,100,7.9,14499
Casablanca,10462500,10462500,,950000,Dec 31 1941,,Adapted screenplay,Drama,Fiction,97,8.8,167939
We're No Angels,10555348,10555348,,20000000,Dec 15 1989,,Adapted screenplay,Comedy,Fiction,50,5.6,7839
Marvin's Room,12803305,12803305,,23000000,Dec 20 1996,PG/PG-13,Adapted screenplay,Drama,Fiction,81,6.6,9684
The History Boys,2730296,13425589,,3700000,Nov 21 2006,R,Adapted screenplay,Comedy,Fiction,63,6.7,10293
The Front Page,15000000,15000000,,4000000,Dec 17 1974,,Adapted screenplay,Comedy,Fiction,67,7.2,3875
Cat on a Hot Tin Roof,17570324,17570324,,3000000,Sep 20 1958,,Adapted screenplay,Drama,Fiction,100,8,14540
An Ideal Husband,18542974,18542974,,10700000,Jun 18 1999,PG/PG-13,Adapted screenplay,Comedy,Fiction,86,6.7,8078
The Big Parade,11000000,22000000,,245000,Jan 01 2025,,Adapted screenplay,Drama,,100,8.4,2600
Much Ado About Nothing,22549338,22549338,,8000000,May 07 1993,,Adapted screenplay,Drama,Fiction,90,7.4,22470
Kingdom Come,23247539,23393939,,7000000,Apr 11 2001,PG/PG-13,Adapted screenplay,Comedy,Fiction,28,,
Shadowlands,25842377,25842377,,22000000,Dec 29 1993,R,Adapted screenplay,Drama,Non-Fiction,96,7.4,7689
Frost/Nixon,18622031,28144586,6677601,29000000,Dec 05 2008,R,Adapted screenplay,Drama,Non-Fiction,92,7.9,36366
Paint Your Wagon,31678778,31678778,,20000000,Oct 15 1969,PG/PG-13,Adapted screenplay,Western/Musical,Fiction,23,6.5,5037
Ten Things I Hate About You,38177966,38177966,,13000000,Mar 31 1999,PG/PG-13,Adapted screenplay,Comedy,Fiction,,6.9,61910
Meet the Browns,41975388,41975388,18271961,20000000,Mar 21 2008,PG/PG-13,Adapted screenplay,Comedy,Fiction,30,3.1,3362
8 femmes,3076425,42376425,,8000000,Sep 20 2002,R,Adapted screenplay,Western/Musical,Fiction,,7,13631
Diary of a Mad Black Woman,50406346,50425450,,5500000,Feb 25 2005,PG/PG-13,Adapted screenplay,Drama,Fiction,16,4.9,5565
Doubt,33422556,50923043,12876746,20000000,Dec 12 2008,PG/PG-13,Adapted screenplay,Drama,Fiction,78,,
Amadeus,51973029,51973029,,18000000,Sep 19 1984,R,Adapted screenplay,Drama,Non-Fiction,96,8.4,96997
She's the Man,33889159,56889159,33340509,25000000,Mar 17 2006,PG/PG-13,Adapted screenplay,Comedy,Fiction,44,6.4,26513
Madea's Family Reunion,63257940,63308879,26508859,10000000,Feb 24 2006,PG/PG-13,Adapted screenplay,Comedy,Fiction,26,3.9,5369
Man cheng jin dai huang jin jia,6566773,75566773,10581873,45000000,Dec 21 2006,R,Adapted screenplay,Action/Adventure,Fiction,,7,17975
Madea Goes To Jail,90508336,90508336,27100919,17500000,Feb 20 2009,PG/PG-13,Adapted screenplay,Comedy,Fiction,26,3.1,5468
Driving Miss Daisy,106593296,106593296,,7500000,Dec 13 1989,,Adapted screenplay,Drama,Fiction,78,7.5,22566
Peter Pan: Return to Neverland,48430258,109862682,,20000000,Feb 15 2002,G,Adapted screenplay,Action/Adventure,Fiction,46,,
Closer,33987757,115987757,,35000000,Dec 03 2004,R,Adapted screenplay,Drama,Fiction,68,2.9,212
Finding Neverland,51676606,118676606,,25000000,Nov 12 2004,PG/PG-13,Adapted screenplay,Drama,Fiction,82,7.9,86828
Romeo+Juliet,46338728,147542381,,14500000,Nov 01 1996,PG/PG-13,Adapted screenplay,Drama,Fiction,,6.5,78
A Few Good Men,141340178,236500000,,33000000,Dec 11 1992,,Adapted screenplay,Drama,Fiction,83,7.6,63541
You've Got Mail,115821495,250800000,,65000000,Dec 18 1998,PG/PG-13,Adapted screenplay,Drama,Fiction,68,6.2,52587
My Big Fat Greek Wedding,241438208,368744044,,5000000,Apr 19 2002,PG/PG-13,Adapted screenplay,Comedy,Fiction,75,6.6,46548
"Peace, Propaganda and the Promised Land",4930,4930,,70000,Jan 28 2005,Other,Adapted screenplay,Documentary,Non-Fiction,,3,75
The Case of the Grinning Cat,7033,7033,,200000,Jul 21 2006,Other,Adapted screenplay,Documentary,Non-Fiction,,,
Dolphin,14000,14000,,170000,Jun 01 1979,,Adapted screenplay,Documentary,Non-Fiction,,5.8,134
Lake of Fire,25317,25317,,6000000,Oct 03 2007,Other,Adapted screenplay,Documentary,Non-Fiction,,8.4,1027
Sisters in Law,33312,33312,,300000,Apr 12 2006,Other,Adapted screenplay,Documentary,Non-Fiction,,6.7,203
Madadayo,48856,48856,,11900000,Mar 20 1998,,Adapted screenplay,Drama,Non-Fiction,,7.4,1748
10th & Wolf,54702,54702,,8000000,Aug 18 2006,Other,Adapted screenplay,Drama,Non-Fiction,19,6.3,3655
Redacted,65388,65388,,5000000,Nov 16 2007,R,Adapted screenplay,Drama,Non-Fiction,44,6.1,5759
Love Ranch,134904,134904,,25000000,Jun 30 2010,R,Adapted screenplay,Drama,Non-Fiction,13,5.6,163
Hybrid,162605,162605,,200000,May 10 2002,Other,Adapted screenplay,Documentary,Non-Fiction,,2.2,380
My Date With Drew,181041,181041,,1100,Aug 05 2005,PG/PG-13,Adapted screenplay,Documentary,Non-Fiction,,6.5,2961
Fateless,196857,196857,,12000000,Jan 06 2006,R,Adapted screenplay,Drama,,,6,462
Once in a Lifetime: the Extraordinary Story of the New York Cosmos,144601,206351,,1000000,Jul 07 2006,PG/PG-13,Adapted screenplay,Documentary,Non-Fiction,82,7.1,643
Guiana 1838,227241,227241,,1000000,Sep 24 2004,Other,Adapted screenplay,Drama,Non-Fiction,,,
Standard Operating Procedure,228830,228830,,5000000,Apr 25 2008,R,Adapted screenplay,Documentary,Non-Fiction,80,7.5,1640
Sex with Strangers,247740,247740,,1100000,Feb 22 2002,Other,Adapted screenplay,Documentary,Non-Fiction,39,5,151
Stonewall,304602,304602,,2000000,Jul 26 1996,R,Adapted screenplay,Drama,Non-Fiction,,7,741
Copying Beethoven,355968,355968,,11000000,Nov 10 2006,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,,6.8,5017
Short Cut to Nirvana: Kumbh Mela,381225,439651,,200000,Oct 22 2004,Other,Adapted screenplay,Documentary,Non-Fiction,75,6.9,105
The Last Shot,463730,463730,,40000000,Sep 24 2004,R,Adapted screenplay,Comedy,Non-Fiction,60,5.7,2711
Madison,517262,517262,,14000000,Apr 22 2005,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,,6.4,536
Prefontaine,590817,590817,,8000000,Jan 24 1997,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,62,6.2,2580
Trekkies,617172,617172,,375000,May 21 1999,PG/PG-13,Adapted screenplay,Documentary,Non-Fiction,,6.9,3004
Inside Deep Throat,691880,691880,,2000000,Feb 11 2005,R,Adapted screenplay,Documentary,Non-Fiction,,6.9,3264
Without Limits,780326,780326,,25000000,Sep 11 1998,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,78,6.9,3369
Princess Kaiulani,883454,883454,,9000000,May 14 2010,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,,5.3,224
Joyeux NoÎl,1054361,1054361,,22000000,Mar 03 2006,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,,7.8,9363
Wonderland,1060512,1060512,,5500000,Oct 03 2003,R,Adapted screenplay,Drama,Non-Fiction,35,6.6,11966
In the Shadow of the Moon,1134358,1134358,,2000000,Sep 07 2007,PG/PG-13,Adapted screenplay,Documentary,Non-Fiction,94,8,2974
Tarnation,592014,1162014,,218,Oct 06 2004,Other,Adapted screenplay,Documentary,Non-Fiction,,7.1,3847
Saints and Soldiers,1310470,1310470,,780000,Aug 06 2004,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,,7,7581
No End In Sight,1433319,1433319,,2000000,Jul 27 2007,Other,Adapted screenplay,Documentary,Non-Fiction,94,8.3,4086
It's All Gone Pete Tong,120620,1470620,,2000000,Apr 15 2005,R,Adapted screenplay,Drama,Non-Fiction,,7.3,7631
Factory Girl,1661464,1661464,,7000000,Dec 29 2006,R,Adapted screenplay,Drama,Non-Fiction,19,6.1,8680
Murderball,1531154,1722277,,350000,Jul 08 2005,PG/PG-13,Adapted screenplay,Documentary,Non-Fiction,98,7.8,5699
Find Me Guilty,1173673,1788077,,13000000,Mar 17 2006,R,Adapted screenplay,Drama,Non-Fiction,60,7.1,12800
Tumbleweeds,1350248,1788168,,312000,Nov 24 1999,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,84,6.4,2152
Beyond the Mat,2047570,2047570,,500000,Oct 22 1999,R,Adapted screenplay,Documentary,Non-Fiction,82,7.2,4067
Jefferson in Paris,2461628,2461628,,14000000,Mar 31 1995,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,36,5.6,1464
Shattered Glass,2207975,2932719,,6000000,Oct 31 2003,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,91,7.4,14575
Basquiat,2962051,2962051,,3000000,Aug 09 1996,R,Adapted screenplay,Drama,Non-Fiction,69,6.7,7935
Gracie,2956339,3036736,,9000000,Jun 01 2007,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,59,6.2,2084
The Widow of St. Pierre,3058380,3058380,,13000000,Mar 02 2001,R,Adapted screenplay,Drama,Non-Fiction,,,
Wordplay,3121270,3177636,,500000,Jun 16 2006,PG/PG-13,Adapted screenplay,Documentary,Non-Fiction,,7.4,2222
Riding Giants,2276368,3216111,,2600000,Jul 09 2004,PG/PG-13,Adapted screenplay,Documentary,Non-Fiction,93,7.7,2193
Zwartboek,4398392,4398392,,22000000,Apr 06 2007,R,Adapted screenplay,Horror/Thriller,Fiction,,8,27288
Rize,3278611,4462763,,700000,Jun 24 2005,PG/PG-13,Adapted screenplay,Documentary,Non-Fiction,,6.8,2052
Slums of Beverly Hills,5502773,5502773,,5000000,Aug 14 1998,R,Adapted screenplay,Comedy,Non-Fiction,79,6.4,5821
The Children of Huang Shi,1031872,5527507,,20000000,May 23 2008,R,Adapted screenplay,Drama,Non-Fiction,31,6.9,4100
Get on the Bus,5691854,5691854,,2400000,Oct 16 1996,R,Adapted screenplay,Drama,Fiction,87,6.7,2701
Catch a Fire,4299773,5699773,,14000000,Oct 27 2006,PG/PG-13,Adapted screenplay,Horror/Thriller,Non-Fiction,76,6.8,5959
The Straight Story,6197866,6197866,,10000000,Oct 15 1999,G,Adapted screenplay,Drama,Non-Fiction,95,8,36265
Topsy Turvy,6201757,6201757,,20000000,Dec 17 1999,R,Adapted screenplay,Western/Musical,Non-Fiction,,7.1,6215
Against the Ropes,5881504,6429865,,39000000,Feb 20 2004,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,12,5.2,3547
Roger & Me,6706368,6706368,,140000,Dec 20 1989,,Adapted screenplay,Documentary,Non-Fiction,100,7.5,14883
Rescue Dawn,5490423,7037886,24745520,10000000,Jul 04 2007,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,,7.5,37764
Beyond the Sea,6144806,7061637,,24000000,Dec 17 2004,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,42,6.6,8002
The Hoax,7164995,7164995,,25000000,Apr 06 2007,R,Adapted screenplay,Drama,Non-Fiction,85,6.9,9171
Cadillac Records,8138000,8138000,10049741,12000000,Dec 05 2008,R,Adapted screenplay,Drama,Non-Fiction,67,6.7,5026
Mad Hot Ballroom,8117961,9079042,,500000,May 13 2005,PG/PG-13,Adapted screenplay,Documentary,Non-Fiction,83,7.4,2562
Veronica Guerin,1569918,9438074,,17000000,Oct 17 2003,R,Adapted screenplay,Drama,Non-Fiction,54,6.8,8778
Bright Star,4444637,9469105,,8500000,Jan 26 2010,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,,7.1,5957
White Squall,10229300,10229300,,38000000,Feb 02 1996,PG/PG-13,Adapted screenplay,Action/Adventure,Non-Fiction,63,6.4,8385
The Newton Boys,10341093,10341093,,27000000,Mar 27 1998,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,61,5.7,4443
The Night Listener,7836393,10547755,8927227,4000000,Aug 04 2006,R,Adapted screenplay,Drama,Non-Fiction,40,5.9,8437
Pollock,8596914,10557291,,6000000,Dec 15 2000,R,Adapted screenplay,Drama,Non-Fiction,82,7.1,9669
What the #$'! Do We Know,10941801,10941801,,4000000,Feb 06 2004,Other,Adapted screenplay,Documentary,Non-Fiction,,,
The Young Victoria,11001272,11001272,3273039,35000000,Dec 18 2009,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,76,7.2,8408
The Squid and the Whale,7372734,11098131,,1500000,Oct 05 2005,R,Adapted screenplay,Drama,Non-Fiction,93,7.6,23521
Waltz with Bashir,2283849,11125664,,2000000,Dec 25 2008,R,Adapted screenplay,Documentary,Non-Fiction,,,
Stop-Loss,10915744,11179472,4736139,25000000,Mar 28 2008,R,Adapted screenplay,Drama,Non-Fiction,,6.5,9268
I'm Not There,4017609,11498547,6017494,20000000,Nov 21 2007,R,Adapted screenplay,Drama,Non-Fiction,76,7.1,23078
Hoop Dreams,7768371,11768371,,700000,Oct 14 1994,PG/PG-13,Adapted screenplay,Documentary,Non-Fiction,98,8,9492
Dave Chappelle's Block Party,11718595,12051924,18713941,3000000,Mar 03 2006,R,Adapted screenplay,Documentary,Non-Fiction,,,
Extraordinary Measures,12482741,12697741,5267433,31000000,Jan 22 2010,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,27,6.4,3770
Kinsey,10214647,13000959,,11000000,Nov 12 2004,R,Adapted screenplay,Drama,Non-Fiction,90,7.2,20135
Ghosts of Mississippi,13052741,13052741,,36000000,Dec 20 1996,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,50,6.4,5276
Religulous,13011160,13136074,7486708,2500000,Oct 01 2008,R,Adapted screenplay,Documentary,Non-Fiction,69,7.8,23094
The Messenger: The Story of Joan of Arc,14271297,14271297,,50000000,Nov 12 1999,R,Adapted screenplay,Drama,Non-Fiction,31,,
Tea with Mussolini,14395874,14395874,,14000000,May 14 1999,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,67,6.7,5435
Capitalism: A Love Story,14363397,14678228,2987505,20000000,Sep 23 2009,R,Adapted screenplay,Documentary,Non-Fiction,75,7.3,11829
Flyboys,13090630,14816379,23631077,60000000,Sep 22 2006,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,33,6.5,13934
The World's Fastest Indian,5128124,16509706,7272519,25000000,Dec 07 2005,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,82,7.9,19687
Dolphins and Whales Tribes of the Ocean 3D,7714996,17252287,,6000000,Feb 15 2008,Other,Adapted screenplay,Documentary,Non-Fiction,,,
Domino,10169202,17759202,15573570,50000000,Oct 14 2005,R,Adapted screenplay,Action/Adventure,Non-Fiction,19,5.9,32560
De-Lovely,13337299,18396382,,4000000,Jun 25 2004,PG/PG-13,Adapted screenplay,Drama,Fiction,49,6.5,6086
Michael Jordan to the MAX,18642318,18642318,,7000000,May 05 2000,Other,Adapted screenplay,Documentary,Non-Fiction,64,7.2,746
Martin Lawrence Live: RunTelDat,19184820,19184820,,3000000,Aug 02 2002,R,Adapted screenplay,Western/Musical,Non-Fiction,,4.9,1166
Summer of Sam,19288130,19288130,,22000000,Jul 02 1999,R,Adapted screenplay,Drama,Fiction,50,6.5,18431
Die F‰lscher,5488570,19416495,,6250000,Feb 22 2008,R,Adapted screenplay,Drama,Non-Fiction,,7.6,16525
F.I.S.T,20388920,20388920,,11000000,Apr 13 1978,,Adapted screenplay,Drama,Non-Fiction,,6.2,2737
Bobby,11242801,20597806,12345494,14000000,Nov 17 2006,R,Adapted screenplay,Drama,Non-Fiction,46,7.1,23262
U2 3D,10363341,22664070,,15000000,Jan 23 2008,G,Adapted screenplay,Western/Musical,Non-Fiction,,8.3,2090
Antwone Fisher,21078145,23367586,,12500000,Dec 19 2002,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,79,7.3,13258
Raging Bull,23380203,23380203,,18000000,Nov 14 1980,Other,Adapted screenplay,Drama,Non-Fiction,98,8.4,90015
North Country,18324242,23624242,14349786,30000000,Oct 21 2005,R,Adapted screenplay,Drama,Non-Fiction,69,7.2,16497
The Alamo,22406362,23911362,,92000000,Apr 09 2004,PG/PG-13,Adapted screenplay,Western/Musical,Non-Fiction,30,5.9,10063
In the Valley of Elah,6777741,24489150,3182650,23000000,Sep 14 2007,R,Adapted screenplay,Drama,Non-Fiction,73,7.4,27529
Wyatt Earp,25052000,25052000,,63000000,Jun 24 1994,PG/PG-13,Adapted screenplay,Western/Musical,Non-Fiction,42,6.4,15614
Michael Collins,11092559,27572844,,25000000,Oct 11 1996,R,Adapted screenplay,Drama,Non-Fiction,77,6.9,11805
Wolf Creek,16186348,27649774,8898756,1100000,Dec 25 2005,R,Adapted screenplay,Horror/Thriller,Non-Fiction,,6.3,22594
W.,25534493,28575778,7871296,25100000,Oct 17 2008,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,60,,
"Girl, Interrupted",28871190,28871190,,24000000,Dec 21 1999,R,Adapted screenplay,Drama,Non-Fiction,53,,
Luther,5781086,29465190,,35000000,Sep 26 2003,PG/PG-13,Adapted screenplay,Drama,Fiction,44,6.8,5909
Super Size Me,11529368,29529368,,65000,May 07 2004,PG/PG-13,Adapted screenplay,Documentary,Non-Fiction,,7.6,33805
Riding in Cars with Boys,29781453,29781453,,47000000,Oct 19 2001,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,48,6.2,11895
The Great Debaters,30226144,30226144,24133037,15000000,Dec 25 2007,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,79,7.6,14530
Rob Roy,31390587,31390587,,28000000,Apr 07 1995,R,Adapted screenplay,Drama,Non-Fiction,71,6.8,15630
Sicko,24538513,33538513,17438209,9000000,Jun 22 2007,PG/PG-13,Adapted screenplay,Documentary,Non-Fiction,93,8.2,40886
The Doors,34167219,34167219,,40000000,Mar 01 1991,,Adapted screenplay,Drama,Non-Fiction,57,7,29750
Nixon,13668249,34668249,,45000000,Dec 20 1995,R,Adapted screenplay,Drama,Non-Fiction,75,7.1,13761
Miss Potter,3005605,35025861,7821056,30000000,Dec 29 2006,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,66,7.1,10236
Selena,35450113,35450113,,20000000,Mar 21 1997,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,63,6.3,7996
Shine,35811509,35811509,,5500000,Nov 22 1996,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,90,7.6,22439
Becoming Jane,18663911,37304637,8061456,16500000,Aug 03 2007,PG/PG-13,Adapted screenplay,Comedy,Non-Fiction,58,7,15167
The Original Kings of Comedy,38168022,38236338,,3000000,Aug 18 2000,R,Adapted screenplay,Western/Musical,Non-Fiction,86,6.2,3258
The Soloist,31720158,38286958,10310814,60000000,Apr 24 2009,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,,6.7,14257
The Ghost and the Darkness,38564422,38564422,,55000000,Oct 11 1996,R,Adapted screenplay,Action/Adventure,Non-Fiction,51,6.6,19735
Mar adentro,2086345,39686345,,13300000,Dec 17 2004,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,,7.2,466
Gridiron Gang,38432823,41480851,34066576,30000000,Sep 15 2006,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,41,6.8,12400
Amistad,44212592,44212592,,40000000,Dec 12 1997,R,Adapted screenplay,Drama,Non-Fiction,77,7.1,28477
Notorious,36842118,44473591,21503929,19000000,Jan 16 2009,R,Adapted screenplay,Drama,Non-Fiction,50,6.3,9811
Capote,28750530,46309352,17031573,7000000,Sep 30 2005,R,Adapted screenplay,Drama,Non-Fiction,90,7.6,41472
Man on the Moon,34580635,47407635,,52000000,Dec 22 1999,R,Adapted screenplay,Drama,Non-Fiction,62,7.4,49481
Coco avant Chanel,6113834,48846765,,23000000,Sep 25 2009,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,,6.5,6720
The Longest Day,39100000,50100000,,10000000,Oct 04 1962,,Adapted screenplay,Action/Adventure,Non-Fiction,92,7.8,17712
Milk,31841299,50164027,11075466,20000000,Nov 26 2008,R,Adapted screenplay,Drama,Non-Fiction,94,3.6,479
Fargo,24567751,51204567,,7000000,Mar 08 1996,R,Adapted screenplay,Horror/Thriller,Fiction,94,8.3,165159
Gandhi,52767889,52767889,,22000000,Dec 08 1982,,Adapted screenplay,Drama,Non-Fiction,85,8.2,50881
Radio,52333738,53293628,,35000000,Oct 24 2003,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,35,6.9,12070
Good Night and Good Luck,31501218,54601218,20967273,7000000,Oct 07 2005,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,,7.7,42797
Donnie Brasco,41954997,55954997,,35000000,Feb 28 1997,R,Adapted screenplay,Drama,Non-Fiction,87,7.7,65462
Frida,25885000,56298474,,12000000,Oct 25 2002,R,Adapted screenplay,Drama,Non-Fiction,76,7.3,26243
Tombstone,56505000,56505000,,25000000,Dec 25 1993,R,Adapted screenplay,Western/Musical,Non-Fiction,77,7.7,43688
Chariots of Fire,57159946,57159946,,5500000,Sep 25 1981,,Adapted screenplay,Drama,Non-Fiction,86,7.3,16138
Monster,34469210,58003694,,5000000,Dec 24 2003,R,Adapted screenplay,Drama,Non-Fiction,82,7.4,39908
Bowling for Columbine,21576018,58576018,,3000000,Oct 11 2002,R,Adapted screenplay,Documentary,Non-Fiction,96,8.2,76928
Cleopatra,48000000,62000000,,36000000,Jun 12 1963,,Adapted screenplay,Drama,Non-Fiction,40,6.8,7870
The Bank Job,30060660,63060660,17254299,20000000,Mar 07 2008,R,Adapted screenplay,Horror/Thriller,Non-Fiction,79,7.5,50848
The Miracle,64378093,64445708,,28000000,Feb 06 2004,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,,6.1,126
August Rush,31664162,65627510,22082092,25000000,Nov 17 2007,PG/PG-13,Adapted screenplay,Drama,Fiction,37,7.5,28650
Take the Lead,34742066,65742066,21100670,30000000,Apr 01 2006,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,44,6.5,10015
Thirteen Days,34566746,66554547,,80000000,Dec 25 2000,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,82,7.3,23578
Letters from Iwo Jima,13756082,68756082,13625847,13000000,Dec 20 2006,R,Adapted screenplay,Drama,Fiction,91,8.1,56872
Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,65281781,71281781,18154740,6500000,Feb 01 2008,G,Adapted screenplay,Western/Musical,Non-Fiction,71,,
Oceans,19422319,72965951,,80000000,Apr 22 2010,G,Adapted screenplay,Documentary,Non-Fiction,,7.6,1429
The Hurricane,50699241,73956241,,38000000,Dec 29 1999,R,Adapted screenplay,Drama,Non-Fiction,83,7.4,32172
United 93,31567134,76366864,17832230,18000000,Apr 28 2006,R,Adapted screenplay,Drama,Non-Fiction,91,7.8,46691
Elizabeth,30082699,82150642,,25000000,Nov 06 1998,R,Adapted screenplay,Drama,Non-Fiction,81,7.6,33773
Men of Honor,48814909,82339483,,32000000,Nov 10 2000,R,Adapted screenplay,Drama,Non-Fiction,41,6.8,30630
Dead Man Walking,39387284,83088295,,11000000,Dec 29 1995,R,Adapted screenplay,Drama,Non-Fiction,94,7.6,32159
La MÙme,10299782,83499782,,15500000,Jun 08 2007,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,,7.6,21412
Ali,58183966,84383966,,109000000,Dec 25 2001,R,Adapted screenplay,Drama,Non-Fiction,67,6.6,31785
Downfall,5501940,92101940,,13500000,Feb 18 2005,R,Adapted screenplay,Drama,Non-Fiction,,6.1,404
Enemy at the Gates,51396781,96971293,,85000000,Mar 16 2001,R,Adapted screenplay,Drama,Fiction,53,7.4,59916
Cinderella Man,61649911,108539911,,88000000,Jun 03 2005,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,80,8,63111
Coyote Ugly,60786269,115786269,,45000000,Aug 04 2000,PG/PG-13,Adapted screenplay,Drama,Fiction,21,5.3,33808
Red Cliff,627047,119627047,,40000000,Nov 20 2009,R,Adapted screenplay,Action/Adventure,Non-Fiction,,,
The Pianist,32519322,120000000,,35000000,Dec 27 2002,R,Adapted screenplay,Drama,Non-Fiction,,8.5,134516
The Queen,56441711,122840603,29161789,15000000,Sep 30 2006,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,97,7.6,34785
Ray,75305995,125305995,,40000000,Oct 29 2004,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,81,,
La marche de l'empereur,77437223,129437223,,3400000,Jun 24 2005,G,Adapted screenplay,Documentary,Non-Fiction,,7.8,23674
