Title,US Gross,Worldwide Gross,Production Budget,Release Date,MPAA Rating,Source,Major Genre,Creative Type,IMDB Rating,IMDB Votes
Shutter Island,128012934,294512934,80000000,Feb 19 2010,R,Adapted screenplay,Horror/Thriller,Fiction,8,105706
Horton Hears a Who,154529439,297133947,85000000,Mar 14 2008,G,Adapted screenplay,Action/Adventure,Fiction,7.2,31323
Stuart Little,140015224,298800000,105000000,Dec 17 1999,PG/PG-13,Adapted screenplay,Comedy,Fiction,5.8,23226
Rambo: First Blood Part II,150415432,300400000,44000000,May 22 1985,R,Adapted screenplay,Action/Adventure,Fiction,5.8,38548
The Polar Express,181320597,305420597,170000000,Nov 10 2004,G,Adapted screenplay,Action/Adventure,Fiction,6.7,28550
The Hunchback of Notre Dame,100138851,325500000,100000000,Jun 21 1996,G,Adapted screenplay,Action/Adventure,Fiction,6.5,19479
The Devil Wears Prada,124740460,326551094,35000000,Jun 30 2006,PG/PG-13,Adapted screenplay,Comedy,Fiction,6.8,66627
The Perfect Storm,182618434,328711434,120000000,Jun 30 2000,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,6.2,55716
The Curious Case of Benjamin Button,127509326,329809326,160000000,Dec 25 2008,PG/PG-13,Adapted screenplay,Drama,Fiction,8,137120
Apollo 13,172070496,334100000,65000000,Jun 30 1995,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,7.5,87605
Tomorrow Never Dies,125304276,339504276,110000000,Dec 19 1997,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.4,46650
How the Grinch Stole Christmas,260044825,345141403,123000000,Nov 17 2000,PG/PG-13,Adapted screenplay,Comedy,Fiction,5.7,40310
Hannibal,165092266,350100280,87000000,Feb 09 2001,R,Adapted screenplay,Horror/Thriller,Fiction,6.4,74862
Catch Me if You Can,164606800,351106800,52000000,Dec 25 2002,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,5.7,224
Goldeneye,106429941,356429941,60000000,Nov 17 1995,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.2,69199
Minority Report,132024714,358824714,102000000,Jun 21 2002,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.7,135142
The World is Not Enough,126930660,361730660,135000000,Nov 19 1999,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.3,59406
Die Hard: With a Vengeance,100012499,364480746,90000000,May 19 1995,R,Adapted screenplay,Action/Adventure,Fiction,7.4,87437
Jurassic Park 3,181166115,365900000,93000000,Jul 18 2001,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.9,151365
Live Free or Die Hard,134529403,383531464,110000000,Jun 27 2007,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.5,130559
Gone with the Wind,198680470,390525192,3900000,Dec 15 2039,G,Adapted screenplay,Drama,Fiction,8.2,78947
Twilight,192769854,396439854,37000000,Nov 21 2008,PG/PG-13,Adapted screenplay,Drama,Fiction,6.1,4840
The Exorcist,204632868,402500000,12000000,Dec 26 1973,R,Adapted screenplay,Horror/Thriller,Fiction,8.1,103131
Beauty and the Beast,171340294,403476931,20000000,Nov 13 1991,G,Adapted screenplay,Western/Musical,Fiction,3.4,354
Night at the Museum: Battle of the Smithsonian,177243721,413054631,150000000,May 22 2009,PG/PG-13,Adapted screenplay,Comedy,Fiction,5.9,25631
The Chronicles of Narnia: Prince Caspian,141621490,419490286,225000000,May 16 2008,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.9,46608
Die Another Day,160942139,431942139,142000000,Nov 22 2002,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6,67476
Mrs. Doubtfire,219195051,441286003,25000000,Nov 24 1993,PG/PG-13,Adapted screenplay,Comedy,Fiction,6.6,56917
The Bourne Ultimatum,227471070,442161562,130000000,Aug 03 2007,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,8.2,146025
Tarzan,171091819,448191819,145000000,Jun 16 1999,G,Adapted screenplay,Action/Adventure,Fiction,6.9,26871
Jaws,260000000,470700000,12000000,Jun 20 1975,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,8.3,138017
Shrek,267655011,484399218,50000000,May 18 2001,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,8,163855
Angels & Demons,133375846,485975846,150000000,May 15 2009,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,6.7,60114
How to Train Your Dragon,217581231,491581231,165000000,Mar 26 2010,PG/PG-13,Adapted screenplay,Comedy,Fiction,8.2,28556
Twister,241888385,495900000,88000000,May 10 1996,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6,61665
Troy,133298577,497398577,150000000,May 14 2004,R,Adapted screenplay,Action/Adventure,Fiction,7,129575
Sherlock Holmes,209028679,518249844,80000000,Dec 25 2009,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.5,91555
Night at the Museum,250863268,574480841,110000000,Dec 22 2006,PG/PG-13,Adapted screenplay,Comedy,Fiction,6.4,67133
Quantum of Solace,169368427,576368427,230000000,Nov 14 2008,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.8,93596
I am Legend,256393010,585055701,150000000,Dec 14 2007,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,7.1,153631
Casino Royale,167365000,596365000,102000000,Nov 17 2006,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,8,172936
The Passion of the Christ,370782930,611899420,25000000,Feb 25 2004,R,Adapted screenplay,Drama,Non-Fiction,7.1,87326
Forrest Gump,329694499,679400525,55000000,Jul 06 1994,PG/PG-13,Adapted screenplay,Drama,Fiction,8.6,300455
Shrek Forever After,238395990,729395990,165000000,May 21 2010,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.7,12193
The Da Vinci Code,217536138,757236138,125000000,May 19 2006,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,6.4,116903
The Lost World: Jurassic Park,229086679,786686679,75000000,May 22 1997,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6,77124
Harry Potter and the Prisoner of Azkaban,249538952,795538952,130000000,Jun 04 2004,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.7,108928
Shrek the Third,322719944,798958162,160000000,May 18 2007,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.1,59778
The Lord of the Rings: The Fellowship of the Ring,314776170,868621686,109000000,Dec 19 2001,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,8.8,387438
Harry Potter and the Chamber of Secrets,261987880,878987880,100000000,Nov 15 2002,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.2,120063
Harry Potter and the Goblet of Fire,290013036,896013036,150000000,Nov 18 2005,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.6,111946
Shrek 2,441226247,919838758,70000000,May 19 2004,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.5,95658
Jurassic Park,357067947,923067947,63000000,Jun 10 1993,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.9,151365
The Lord of the Rings: The Two Towers,341784377,926284377,94000000,Dec 18 2002,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,8.7,326950
Harry Potter and the Half-Blood Prince,301959197,937499905,250000000,Jul 15 2009,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.3,73720
Harry Potter and the Order of the Phoenix,292004738,938468864,150000000,Jul 11 2007,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.4,104074
Harry Potter and the Sorcerer's Stone,317557891,976457891,125000000,Nov 16 2001,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.2,132238
Alice in Wonderland,334191110,1023291110,200000000,Mar 05 2010,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.7,63458
The Lord of the Rings: The Return of the King,377027325,1133027325,94000000,Dec 17 2003,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,8.8,364077
Steel,1686429,1686429,16000000,Aug 15 1997,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,2.7,4409
Tank Girl,4064333,4064333,25000000,Mar 01 1995,R,Adapted screenplay,Action/Adventure,Fiction,4.7,10772
Monkeybone,5409517,5409517,75000000,Feb 23 2001,PG/PG-13,Adapted screenplay,Comedy,Fiction,4.5,8211
American Splendor,6003587,7978681,2000000,Aug 15 2003,R,Adapted screenplay,Drama,Fiction,7.6,23686
Punisher: War Zone,8050977,8199130,35000000,Dec 05 2008,R,Adapted screenplay,Action/Adventure,Fiction,6.1,20865
Ghost World,6217849,8764007,5500000,Jul 20 2001,R,Adapted screenplay,Comedy,Fiction,7.7,42973
Jonah Hex,10547117,10547117,47000000,Jun 18 2010,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,4.3,2316
Whiteout,10275638,12254746,35000000,Sep 11 2009,R,Adapted screenplay,Horror/Thriller,Fiction,5.3,10044
Zoom,11989328,12506188,35000000,Aug 11 2006,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,3.4,7424
The Phantom,17220599,17220599,45000000,Jun 07 1996,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,4.8,9477
Bulletproof Monk,23010607,23010607,52000000,Apr 16 2003,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,5.2,17130
Virus,14010690,30626690,75000000,Jan 15 1999,R,Adapted screenplay,Action/Adventure,Fiction,4.5,10487
From Hell,31598308,31598308,35000000,Oct 19 2001,R,Adapted screenplay,Horror/Thriller,Fiction,6.8,53477
The Shadow,31835600,31835600,40000000,Jul 01 1994,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,5.6,9530
The Covenant,23364784,38164784,20000000,Sep 08 2006,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,4.8,17736
Scott Pilgrim vs. The World,31167395,43149143,85000000,Aug 13 2010,PG/PG-13,Adapted screenplay,Comedy,Fiction,8.1,17461
Astro Boy,19551067,44093014,65000000,Oct 23 2009,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.4,5265
The Punisher,33664370,54664370,33000000,Apr 16 2004,R,Adapted screenplay,Action/Adventure,Fiction,6.4,50482
Son of the Mask,17018422,59918422,100000000,Feb 18 2005,PG/PG-13,Adapted screenplay,Comedy,Fiction,2,15800
A History of Violence,31493782,59993782,32000000,Sep 23 2005,R,Adapted screenplay,Drama,Fiction,7.6,79738
30 Days of Night,39568996,75066323,30000000,Oct 19 2007,R,Adapted screenplay,Horror/Thriller,Fiction,6.6,52518
Kick-Ass,48071303,76252166,28000000,Apr 16 2010,R,Adapted screenplay,Action/Adventure,Fiction,8.1,86990
Catwoman,40202379,82102379,100000000,Jul 23 2004,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,3.2,34651
Spawn,54979992,87949859,40000000,Jul 31 1997,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,4.8,21366
TMNT,54149098,95009888,35000000,Mar 23 2007,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.6,26178
Hellboy,59623958,99823958,60000000,Apr 02 2004,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.8,67763
Timecop,44853581,102053581,28000000,Sep 16 1994,R,Adapted screenplay,Action/Adventure,Fiction,5.5,16570
Judge Dredd,34687912,113487912,85000000,Jun 30 1995,R,Adapted screenplay,Action/Adventure,Fiction,4.9,30736
Surrogates,38577772,119668350,80000000,Sep 25 2009,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.3,36940
Blade,70141876,131237688,45000000,Aug 21 1998,R,Adapted screenplay,Action/Adventure,Fiction,7,64896
Blade: Trinity,52397389,132397389,65000000,Dec 08 2004,R,Adapted screenplay,Action/Adventure,Fiction,5.7,42477
V for Vendetta,70511035,132511035,50000000,Mar 17 2006,R,Adapted screenplay,Action/Adventure,Fiction,8.2,224636
AstÈrix aux Jeux Olympiques,999811,132999811,113500000,Jul 04 2008,Other,Adapted screenplay,Action/Adventure,Fiction,4.9,5620
Blade 2,81676888,154338601,54000000,Mar 22 2002,R,Adapted screenplay,Action/Adventure,Fiction,5.5,90
Sin City,74103820,158753820,40000000,Apr 01 2005,R,Adapted screenplay,Action/Adventure,Fiction,8.3,255814
Hellboy 2: The Golden Army,75986503,160388063,82500000,Jul 11 2008,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.3,61902
Daredevil,102543518,179179718,80000000,Feb 14 2003,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,5.5,63574
The League of Extraordinary Gentlemen,66465204,179265204,78000000,Jul 11 2003,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,5.5,50710
Watchmen,107509799,184068357,138000000,Mar 06 2009,R,Adapted screenplay,Action/Adventure,Fiction,7.8,132250
Garfield,75367693,200802638,50000000,Jun 11 2004,PG/PG-13,Adapted screenplay,Comedy,Fiction,4.8,19870
Constantine,75976178,230884728,75000000,Feb 18 2005,R,Adapted screenplay,Action/Adventure,Fiction,6.7,78705
Ghost Rider,115802596,237702596,120000000,Feb 16 2007,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,5.2,63235
Hulk,132177234,245360480,137000000,Jun 20 2003,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,5.7,70844
The Incredible Hulk,134806913,263349257,137500000,Jun 13 2008,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.1,82419
Superman,134218018,300200000,55000000,Dec 15 1978,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,4.9,129
Fantastic Four,154696080,330579719,87500000,Jul 08 2005,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,5.7,71675
X-Men,157299717,334627820,75000000,Jul 14 2000,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.4,120706
Wanted,134508551,340934768,75000000,Jun 27 2008,R,Adapted screenplay,Action/Adventure,Fiction,6.4,1089
The Mask,119920129,343900000,18000000,Jul 29 1994,PG/PG-13,Adapted screenplay,Comedy,Fiction,6.6,72981
Batman Begins,205343774,372353017,150000000,Jun 15 2005,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,8.3,270641
Monsters vs. Aliens,198351526,381687380,175000000,Mar 27 2009,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.8,26582
Superman Returns,200120000,391120000,232000000,Jun 28 2006,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.6,102751
X2,214949694,407711549,125000000,May 02 2003,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.8,112320
Batman,251188924,411348924,35000000,Jun 23 1989,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.6,111464
Men in Black 2,190418803,441818803,140000000,Jul 03 2002,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.4,467
300,210614939,456068181,60000000,Mar 09 2007,R,Adapted screenplay,Action/Adventure,Fiction,7.8,235508
X-Men: The Last Stand,234362462,459359555,150000000,May 26 2006,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.9,109125
Iron Man,318604126,582604126,186000000,May 02 2008,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.9,174040
Men in Black,250690539,587790539,90000000,Jul 01 1997,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7,119704
Iron Man 2,312128345,622128345,170000000,May 07 2010,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.3,61256
Spider-Man 2,373524485,783705001,200000000,Jun 30 2004,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.7,141940
Spider-Man,403706375,821708551,139000000,May 03 2002,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.4,167524
Spider-Man 3,336530303,890871626,258000000,May 04 2007,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.4,141513
The Dark Knight,533345358,1022345358,185000000,Jul 18 2008,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,8.9,465000
BloodRayne,2405420,2405420,25000000,Jan 06 2006,R,Adapted screenplay,Action/Adventure,Fiction,2.7,20137
DOA: Dead or Alive,480314,2670860,30000000,Jun 15 2007,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,4.9,16646
Alone in the Dark,5178569,8178569,20000000,Jan 28 2005,R,Adapted screenplay,Horror/Thriller,Fiction,2.3,26028
Wing Commander,11578022,11578022,30000000,Mar 12 1999,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,3.7,9460
The House of the Dead,10199354,13767816,7000000,Oct 10 2003,R,Adapted screenplay,Horror/Thriller,Fiction,6.5,5541
Dungeons and Dragons,15185241,33771965,35000000,Dec 08 2000,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,3.6,16954
Mortal Kombat: Annihilation,35927406,51327406,30000000,Nov 21 1997,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,3.2,16672
Doom,28212337,54612337,70000000,Oct 21 2005,R,Adapted screenplay,Horror/Thriller,Fiction,5.2,39473
Final Fiction: The Spirits Within,32131830,85131830,137000000,Jul 11 2001,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.4,36227
Max Payne,40687294,85761789,35000000,Oct 17 2008,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,5.4,47541
Street Fighter,33423000,99423000,35000000,Dec 23 1994,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,3.3,25407
Silent Hill,46982632,99982632,50000000,Apr 21 2006,R,Adapted screenplay,Horror/Thriller,Fiction,6.5,65485
Resident Evil,40119709,103787401,35000000,Mar 15 2002,R,Adapted screenplay,Horror/Thriller,Fiction,6.4,68342
Mortal Kombat,70433227,122133227,20000000,Aug 18 1995,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,5.4,29605
Resident Evil: Apocalypse,50740078,128940078,50000000,Sep 10 2004,R,Adapted screenplay,Horror/Thriller,Fiction,5.8,52753
Resident Evil: Extinction,50648679,146162920,45000000,Sep 21 2007,R,Adapted screenplay,Action/Adventure,Fiction,6.2,49502
Lara Croft: Tomb Raider: The Cradle of Life,65653758,156453758,90000000,Jul 25 2003,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,5.2,32832
Lara Croft: Tomb Raider,131144183,274644183,94000000,Jun 15 2001,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,5.4,55582
Isn't She Great,2954405,2954405,36000000,Jan 28 2000,R,Adapted screenplay,Comedy,Fiction,4.9,1426
Pushing Tin,8408835,8408835,33000000,Apr 23 1999,R,Adapted screenplay,Comedy,Fiction,5.9,16160
City by the Sea,22433915,22433915,40000000,Sep 06 2002,R,Adapted screenplay,Drama,Fiction,6.1,13487
Blue Crush,40118420,51327420,30000000,Aug 16 2002,PG/PG-13,Adapted screenplay,Drama,Fiction,5.5,11699
Proof of Life,32598931,62761005,65000000,Dec 08 2000,R,Adapted screenplay,Action/Adventure,Fiction,6.1,23099
The Peacemaker,41263140,62967368,50000000,Sep 26 1997,R,Adapted screenplay,Action/Adventure,Fiction,5.8,21524
Eat Pray Love,78146373,81846373,60000000,Aug 13 2010,R,Adapted screenplay,Drama,Fiction,4.7,3019
The Fast and the Furious,144512310,206512310,38000000,Jun 22 2001,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6,67939
2 Fast 2 Furious,127120058,236220058,76000000,Jun 06 2003,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,5.1,44151
A Beautiful Mind,170708996,316708996,78000000,Dec 21 2001,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,8,126067
The Damned United,449865,4054204,6400000,Oct 09 2009,R,Adapted screenplay,Drama,Non-Fiction,7.5,7560
An Education,12574914,14134502,7500000,Oct 09 2009,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,7.5,22855
The Informant,33316821,41771168,22000000,Sep 18 2009,R,Adapted screenplay,Horror/Thriller,Fiction,6.2,380
Green Zone,35053660,84788541,100000000,Mar 12 2010,R,Adapted screenplay,Drama,Fiction,7.1,26759
The Blind Side,255959475,301759475,35000000,Nov 20 2009,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,7.7,42320
Good,27276,27276,16000000,Dec 31 2008,R,Adapted screenplay,Drama,Fiction,6.2,1926
The Salon,139084,139084,1500000,May 11 2007,PG/PG-13,Adapted screenplay,Comedy,Fiction,3.5,308
Illuminata,836641,836641,10000000,Aug 06 1999,R,Adapted screenplay,Drama,Fiction,6.1,1100
Urbania,1032075,1032075,225000,Sep 15 2000,R,Adapted screenplay,Drama,Fiction,6.7,2218
Get Real,1152411,1152411,2000000,Apr 30 1999,R,Adapted screenplay,Comedy,Fiction,7.5,6026
Faithful,2104439,2104439,13000000,Apr 05 1996,R,Adapted screenplay,Comedy,Fiction,5.7,989
Hamlet,1577287,2288841,2000000,May 12 2000,R,Adapted screenplay,Drama,Fiction,6,5147
Othello,2844379,2844379,11000000,Dec 14 1995,R,Adapted screenplay,Drama,Fiction,6.9,4289
In the Company of Men,2883661,2883661,25000,Aug 01 1997,R,Adapted screenplay,Drama,Fiction,7.2,7601
East is East,4170647,4170647,3000000,Apr 14 2000,R,Adapted screenplay,Comedy,Fiction,6.7,8351
Richard III,2684904,4204857,9200000,Dec 29 1995,R,Adapted screenplay,Drama,Fiction,7.5,6625
Little Voice,4595000,4595000,6000000,Dec 04 1998,R,Adapted screenplay,Western/Musical,Fiction,6.9,8453
Real Women Have Curves,5853194,5853194,3000000,Oct 18 2002,PG/PG-13,Adapted screenplay,Comedy,Fiction,7,4396
Bug,7006708,7006708,4000000,May 25 2007,R,Adapted screenplay,Drama,Fiction,6,14164
Hamlet,4501094,7129670,18000000,Dec 25 1996,PG/PG-13,Adapted screenplay,Drama,Fiction,6,5147
Proof,7535331,8284331,20000000,Sep 16 2005,PG/PG-13,Adapted screenplay,Drama,Fiction,6.9,18622
The Importance of Being Earnest,8378141,8378141,15000000,May 22 2002,PG/PG-13,Adapted screenplay,Comedy,Fiction,6.7,9345
Kissing Jessica Stein,7025722,8915268,1500000,Mar 13 2002,R,Adapted screenplay,Comedy,Fiction,6.8,8291
The Libertine,4835065,9448623,22000000,Nov 23 2005,R,Adapted screenplay,Drama,Fiction,6.4,16266
Henry V,10161099,10161099,9000000,Nov 08 1989,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.9,14499
Marvin's Room,12803305,12803305,23000000,Dec 20 1996,PG/PG-13,Adapted screenplay,Drama,Fiction,6.6,9684
The History Boys,2730296,13425589,3700000,Nov 21 2006,R,Adapted screenplay,Comedy,Fiction,6.7,10293
An Ideal Husband,18542974,18542974,10700000,Jun 18 1999,PG/PG-13,Adapted screenplay,Comedy,Fiction,6.7,8078
Shadowlands,25842377,25842377,22000000,Dec 29 1993,R,Adapted screenplay,Drama,Non-Fiction,7.4,7689
Frost/Nixon,18622031,28144586,29000000,Dec 05 2008,R,Adapted screenplay,Drama,Non-Fiction,7.9,36366
Paint Your Wagon,31678778,31678778,20000000,Oct 15 1969,PG/PG-13,Adapted screenplay,Western/Musical,Fiction,6.5,5037
Ten Things I Hate About You,38177966,38177966,13000000,Mar 31 1999,PG/PG-13,Adapted screenplay,Comedy,Fiction,6.9,61910
Meet the Browns,41975388,41975388,20000000,Mar 21 2008,PG/PG-13,Adapted screenplay,Comedy,Fiction,3.1,3362
8 femmes,3076425,42376425,8000000,Sep 20 2002,R,Adapted screenplay,Western/Musical,Fiction,7,13631
Diary of a Mad Black Woman,50406346,50425450,5500000,Feb 25 2005,PG/PG-13,Adapted screenplay,Drama,Fiction,4.9,5565
Amadeus,51973029,51973029,18000000,Sep 19 1984,R,Adapted screenplay,Drama,Non-Fiction,8.4,96997
She's the Man,33889159,56889159,25000000,Mar 17 2006,PG/PG-13,Adapted screenplay,Comedy,Fiction,6.4,26513
Madea's Family Reunion,63257940,63308879,10000000,Feb 24 2006,PG/PG-13,Adapted screenplay,Comedy,Fiction,3.9,5369
Man cheng jin dai huang jin jia,6566773,75566773,45000000,Dec 21 2006,R,Adapted screenplay,Action/Adventure,Fiction,7,17975
Madea Goes To Jail,90508336,90508336,17500000,Feb 20 2009,PG/PG-13,Adapted screenplay,Comedy,Fiction,3.1,5468
Closer,33987757,115987757,35000000,Dec 03 2004,R,Adapted screenplay,Drama,Fiction,2.9,212
Finding Neverland,51676606,118676606,25000000,Nov 12 2004,PG/PG-13,Adapted screenplay,Drama,Fiction,7.9,86828
Romeo+Juliet,46338728,147542381,14500000,Nov 01 1996,PG/PG-13,Adapted screenplay,Drama,Fiction,6.5,78
You've Got Mail,115821495,250800000,65000000,Dec 18 1998,PG/PG-13,Adapted screenplay,Drama,Fiction,6.2,52587
My Big Fat Greek Wedding,241438208,368744044,5000000,Apr 19 2002,PG/PG-13,Adapted screenplay,Comedy,Fiction,6.6,46548
"Peace, Propaganda and the Promised Land",4930,4930,70000,Jan 28 2005,Other,Adapted screenplay,Documentary,Non-Fiction,3,75
Lake of Fire,25317,25317,6000000,Oct 03 2007,Other,Adapted screenplay,Documentary,Non-Fiction,8.4,1027
Sisters in Law,33312,33312,300000,Apr 12 2006,Other,Adapted screenplay,Documentary,Non-Fiction,6.7,203
10th & Wolf,54702,54702,8000000,Aug 18 2006,Other,Adapted screenplay,Drama,Non-Fiction,6.3,3655
Redacted,65388,65388,5000000,Nov 16 2007,R,Adapted screenplay,Drama,Non-Fiction,6.1,5759
Love Ranch,134904,134904,25000000,Jun 30 2010,R,Adapted screenplay,Drama,Non-Fiction,5.6,163
Hybrid,162605,162605,200000,May 10 2002,Other,Adapted screenplay,Documentary,Non-Fiction,2.2,380
My Date With Drew,181041,181041,1100,Aug 05 2005,PG/PG-13,Adapted screenplay,Documentary,Non-Fiction,6.5,2961
Once in a Lifetime: the Extraordinary Story of the New York Cosmos,144601,206351,1000000,Jul 07 2006,PG/PG-13,Adapted screenplay,Documentary,Non-Fiction,7.1,643
Standard Operating Procedure,228830,228830,5000000,Apr 25 2008,R,Adapted screenplay,Documentary,Non-Fiction,7.5,1640
Sex with Strangers,247740,247740,1100000,Feb 22 2002,Other,Adapted screenplay,Documentary,Non-Fiction,5,151
Stonewall,304602,304602,2000000,Jul 26 1996,R,Adapted screenplay,Drama,Non-Fiction,7,741
Copying Beethoven,355968,355968,11000000,Nov 10 2006,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,6.8,5017
Short Cut to Nirvana: Kumbh Mela,381225,439651,200000,Oct 22 2004,Other,Adapted screenplay,Documentary,Non-Fiction,6.9,105
The Last Shot,463730,463730,40000000,Sep 24 2004,R,Adapted screenplay,Comedy,Non-Fiction,5.7,2711
Madison,517262,517262,14000000,Apr 22 2005,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,6.4,536
Prefontaine,590817,590817,8000000,Jan 24 1997,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,6.2,2580
Trekkies,617172,617172,375000,May 21 1999,PG/PG-13,Adapted screenplay,Documentary,Non-Fiction,6.9,3004
Inside Deep Throat,691880,691880,2000000,Feb 11 2005,R,Adapted screenplay,Documentary,Non-Fiction,6.9,3264
Without Limits,780326,780326,25000000,Sep 11 1998,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,6.9,3369
Princess Kaiulani,883454,883454,9000000,May 14 2010,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,5.3,224
Joyeux NoÎl,1054361,1054361,22000000,Mar 03 2006,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,7.8,9363
Wonderland,1060512,1060512,5500000,Oct 03 2003,R,Adapted screenplay,Drama,Non-Fiction,6.6,11966
In the Shadow of the Moon,1134358,1134358,2000000,Sep 07 2007,PG/PG-13,Adapted screenplay,Documentary,Non-Fiction,8,2974
Tarnation,592014,1162014,218,Oct 06 2004,Other,Adapted screenplay,Documentary,Non-Fiction,7.1,3847
Saints and Soldiers,1310470,1310470,780000,Aug 06 2004,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,7,7581
