Year,State,Description,value
2002,Alaska,Chain-type quantity indexes for real GDP,73.741
2002,Alaska,Compensation (millions of dollars),15703.7
2002,Arizona,Chain-type quantity indexes for real GDP,81.306
2002,Arizona,Compensation (millions of dollars),98041.6
2002,Arkansas,Chain-type quantity indexes for real GDP,85.675
2002,Arkansas,Compensation (millions of dollars),41662
2002,California,Chain-type quantity indexes for real GDP,81.517
2002,California,Compensation (millions of dollars),793668.6
2002,Colorado,Chain-type quantity indexes for real GDP,85.042
2002,Colorado,Compensation (millions of dollars),106707.4
2002,Connecticut,Chain-type quantity indexes for real GDP,89.941
2002,Connecticut,Compensation (millions of dollars),96987.4
2002,Delaware,Chain-type quantity indexes for real GDP,90.666
2002,Delaware,Compensation (millions of dollars),20554.1
2002,District of Columbia,Chain-type quantity indexes for real GDP,81.262
2002,District of Columbia,Compensation (millions of dollars),49248.8
2002,Florida,Chain-type quantity indexes for real GDP,88.624
2002,Florida,Compensation (millions of dollars),307774.1
2002,Georgia,Chain-type quantity indexes for real GDP,89.202
2002,Georgia,Compensation (millions of dollars),177213
2002,Hawaii,Chain-type quantity indexes for real GDP,79.258
2002,Hawaii,Compensation (millions of dollars),26166
2002,Idaho,Chain-type quantity indexes for real GDP,80.682
2002,Idaho,Compensation (millions of dollars),21551.6
2002,Illinois,Chain-type quantity indexes for real GDP,89.141
2002,Illinois,Compensation (millions of dollars),299236
2002,Indiana,Chain-type quantity indexes for real GDP,88.297
2002,Indiana,Compensation (millions of dollars),120790
2002,Iowa,Chain-type quantity indexes for real GDP,77.772
2002,Iowa,Compensation (millions of dollars),54063.3
2002,Kansas,Chain-type quantity indexes for real GDP,81.932
2002,Kansas,Compensation (millions of dollars),53702.7
2002,Kentucky,Chain-type quantity indexes for real GDP,87.37
2002,Kentucky,Compensation (millions of dollars),70906.7
2002,Louisiana,Chain-type quantity indexes for real GDP,90.524
2002,Louisiana,Compensation (millions of dollars),74690.6
2002,Maine,Chain-type quantity indexes for real GDP,94.841
2002,Maine,Compensation (millions of dollars),23480
2002,Maryland,Chain-type quantity indexes for real GDP,81.338
2002,Maryland,Compensation (millions of dollars),127033.6
2002,Massachusetts,Chain-type quantity indexes for real GDP,81.862
2002,Massachusetts,Compensation (millions of dollars),178920
2002,Michigan,Chain-type quantity indexes for real GDP,103.338
2002,Michigan,Compensation (millions of dollars),214263.5
2002,Minnesota,Chain-type quantity indexes for real GDP,84.966
2002,Minnesota,Compensation (millions of dollars),122613.1
2002,Mississippi,Chain-type quantity indexes for real GDP,88.174
2002,Mississippi,Compensation (millions of dollars),40003.3
2002,Missouri,Chain-type quantity indexes for real GDP,91.125
2002,Missouri,Compensation (millions of dollars),114810.8
2002,Montana,Chain-type quantity indexes for real GDP,76.767
2002,Montana,Compensation (millions of dollars),13569.3
2002,Nebraska,Chain-type quantity indexes for real GDP,77.079
2002,Nebraska,Compensation (millions of dollars),35648.1
2002,Nevada,Chain-type quantity indexes for real GDP,85.412
2002,Nevada,Compensation (millions of dollars),46509.5
2002,New Hampshire,Chain-type quantity indexes for real GDP,86.827
2002,New Hampshire,Compensation (millions of dollars),27529
2002,New Jersey,Chain-type quantity indexes for real GDP,93.709
2002,New Jersey,Compensation (millions of dollars),219875.2
2002,New Mexico,Chain-type quantity indexes for real GDP,84.06
2002,New Mexico,Compensation (millions of dollars),29988.6
2002,New York,Chain-type quantity indexes for real GDP,83.28
2002,New York,Compensation (millions of dollars),484107.7
2002,North Carolina,Chain-type quantity indexes for real GDP,81.976
2002,North Carolina,Compensation (millions of dollars),162929.9
2002,North Dakota,Chain-type quantity indexes for real GDP,50.723
2002,North Dakota,Compensation (millions of dollars),11244
2002,Ohio,Chain-type quantity indexes for real GDP,94.04
2002,Ohio,Compensation (millions of dollars),236366.8
2002,Oklahoma,Chain-type quantity indexes for real GDP,75.079
2002,Oklahoma,Compensation (millions of dollars),55921.5
2002,Oregon,Chain-type quantity indexes for real GDP,79.567
2002,Oregon,Compensation (millions of dollars),70412.3
2002,Pennsylvania,Chain-type quantity indexes for real GDP,85.667
2002,Pennsylvania,Compensation (millions of dollars),257461.6
2002,Rhode Island,Chain-type quantity indexes for real GDP,91.551
2002,Rhode Island,Compensation (millions of dollars),21615.2
2002,South Carolina,Chain-type quantity indexes for real GDP,87.421
2002,South Carolina,Compensation (millions of dollars),70735.6
2002,South Dakota,Chain-type quantity indexes for real GDP,74.678
2002,South Dakota,Compensation (millions of dollars),12695.9
2002,Tennessee,Chain-type quantity indexes for real GDP,84.155
2002,Tennessee,Compensation (millions of dollars),108215.7
2002,Texas,Chain-type quantity indexes for real GDP,73.43
2002,Texas,Compensation (millions of dollars),426501.3
2002,Utah,Chain-type quantity indexes for real GDP,73.648
2002,Utah,Compensation (millions of dollars),42813.9
2002,Vermont,Chain-type quantity indexes for real GDP,84.026
2002,Vermont,Compensation (millions of dollars),11934.8
2002,Virginia,Chain-type quantity indexes for real GDP,81.828
2002,Virginia,Compensation (millions of dollars),170792.1
2002,Washington,Chain-type quantity indexes for real GDP,76.794
2002,Washington,Compensation (millions of dollars),136103.4
2002,West Virginia,Chain-type quantity indexes for real GDP,89.352
2002,West Virginia,Compensation (millions of dollars),25952.7
2002,Wisconsin,Chain-type quantity indexes for real GDP,86.805
2002,Wisconsin,Compensation (millions of dollars),117009.5
2002,Wyoming,Chain-type quantity indexes for real GDP,76.636
2002,Wyoming,Compensation (millions of dollars),9449
2003,Alabama,Chain-type quantity indexes for real GDP,87.26
2003,Alabama,Compensation (millions of dollars),77085
2003,Alaska,Chain-type quantity indexes for real GDP,72.671
2003,Alaska,Compensation (millions of dollars),16522
2003,Arizona,Chain-type quantity indexes for real GDP,86.231
2003,Arizona,Compensation (millions of dollars),102681.4
2003,Arkansas,Chain-type quantity indexes for real GDP,89.356
2003,Arkansas,Compensation (millions of dollars),43485.7
2003,California,Chain-type quantity indexes for real GDP,84.71
2003,California,Compensation (millions of dollars),826979.8
2003,Colorado,Chain-type quantity indexes for real GDP,85.897
2003,Colorado,Compensation (millions of dollars),108800.2
2003,Connecticut,Chain-type quantity indexes for real GDP,90.982
2003,Connecticut,Compensation (millions of dollars),99734
2003,Delaware,Chain-type quantity indexes for real GDP,91.894
2003,Delaware,Compensation (millions of dollars),21378.3
2003,District of Columbia,Chain-type quantity indexes for real GDP,82.849
2003,District of Columbia,Compensation (millions of dollars),51880.1
2003,Florida,Chain-type quantity indexes for real GDP,92.785
2003,Florida,Compensation (millions of dollars),325492.8
2003,Georgia,Chain-type quantity indexes for real GDP,91.942
2003,Georgia,Compensation (millions of dollars),183554.3
2003,Hawaii,Chain-type quantity indexes for real GDP,83.414
2003,Hawaii,Compensation (millions of dollars),27939.7
2003,Idaho,Chain-type quantity indexes for real GDP,83.317
2003,Idaho,Compensation (millions of dollars),22333.3
2003,Illinois,Chain-type quantity indexes for real GDP,90.627
2003,Illinois,Compensation (millions of dollars),304674.3
2003,Indiana,Chain-type quantity indexes for real GDP,92.226
2003,Indiana,Compensation (millions of dollars),124487.8
2003,Iowa,Chain-type quantity indexes for real GDP,81.345
2003,Iowa,Compensation (millions of dollars),56040.3
2003,Kansas,Chain-type quantity indexes for real GDP,83.341
2003,Kansas,Compensation (millions of dollars),54840.6
2003,Kentucky,Chain-type quantity indexes for real GDP,89.81
2003,Kentucky,Compensation (millions of dollars),73727.3
2003,Louisiana,Chain-type quantity indexes for real GDP,94.218
2003,Louisiana,Compensation (millions of dollars),77669.3
2003,Maine,Chain-type quantity indexes for real GDP,97.262
2003,Maine,Compensation (millions of dollars),24462.8
2003,Maryland,Chain-type quantity indexes for real GDP,83.703
2003,Maryland,Compensation (millions of dollars),133012.7
2003,Massachusetts,Chain-type quantity indexes for real GDP,83.313
2003,Massachusetts,Compensation (millions of dollars),181644.3
2003,Michigan,Chain-type quantity indexes for real GDP,104.959
2003,Michigan,Compensation (millions of dollars),218615.5
2003,Minnesota,Chain-type quantity indexes for real GDP,88.549
2003,Minnesota,Compensation (millions of dollars),127286.9
2003,Mississippi,Chain-type quantity indexes for real GDP,91.942
2003,Mississippi,Compensation (millions of dollars),41435.1
2003,Missouri,Chain-type quantity indexes for real GDP,93.055
2003,Missouri,Compensation (millions of dollars),118196.5
2003,Montana,Chain-type quantity indexes for real GDP,79.853
2003,Montana,Compensation (millions of dollars),14296.6
2003,Nebraska,Chain-type quantity indexes for real GDP,81.55
2003,Nebraska,Compensation (millions of dollars),37116.4
2003,Nevada,Chain-type quantity indexes for real GDP,89.145
2003,Nevada,Compensation (millions of dollars),49971.1
2003,New Hampshire,Chain-type quantity indexes for real GDP,90.357
2003,New Hampshire,Compensation (millions of dollars),28658.7
2003,New Jersey,Chain-type quantity indexes for real GDP,95.651
2003,New Jersey,Compensation (millions of dollars),226678
2003,New Mexico,Chain-type quantity indexes for real GDP,87.31
2003,New Mexico,Compensation (millions of dollars),31589.3
2003,New York,Chain-type quantity indexes for real GDP,83.616
2003,New York,Compensation (millions of dollars),495942
2003,North Carolina,Chain-type quantity indexes for real GDP,84.024
2003,North Carolina,Compensation (millions of dollars),168300.7
2003,North Dakota,Chain-type quantity indexes for real GDP,53.77
2003,North Dakota,Compensation (millions of dollars),11851.1
2003,Ohio,Chain-type quantity indexes for real GDP,95.272
2003,Ohio,Compensation (millions of dollars),243779.7
2003,Oklahoma,Chain-type quantity indexes for real GDP,76.293
2003,Oklahoma,Compensation (millions of dollars),57533.3
2003,Oregon,Chain-type quantity indexes for real GDP,82.929
2003,Oregon,Compensation (millions of dollars),72567
2003,Pennsylvania,Chain-type quantity indexes for real GDP,87.702
2003,Pennsylvania,Compensation (millions of dollars),265560.1
2003,Rhode Island,Chain-type quantity indexes for real GDP,94.161
2003,Rhode Island,Compensation (millions of dollars),22878.3
2003,South Carolina,Chain-type quantity indexes for real GDP,90.796
2003,South Carolina,Compensation (millions of dollars),73863.8
2003,South Dakota,Chain-type quantity indexes for real GDP,75.121
2003,South Dakota,Compensation (millions of dollars),13273.6
2003,Tennessee,Chain-type quantity indexes for real GDP,86.957
2003,Tennessee,Compensation (millions of dollars),112845.3
2003,Texas,Chain-type quantity indexes for real GDP,73.925
2003,Texas,Compensation (millions of dollars),438077.9
2003,Utah,Chain-type quantity indexes for real GDP,74.91
2003,Utah,Compensation (millions of dollars),44141.1
2003,Vermont,Chain-type quantity indexes for real GDP,87.086
2003,Vermont,Compensation (millions of dollars),12435.9
2003,Virginia,Chain-type quantity indexes for real GDP,84.696
2003,Virginia,Compensation (millions of dollars),180792.5
2003,Washington,Chain-type quantity indexes for real GDP,78.036
2003,Washington,Compensation (millions of dollars),140477.1
2003,West Virginia,Chain-type quantity indexes for real GDP,89.795
2003,West Virginia,Compensation (millions of dollars),26694.3
2003,Wisconsin,Chain-type quantity indexes for real GDP,89.412
2003,Wisconsin,Compensation (millions of dollars),121362.4
2003,Wyoming,Chain-type quantity indexes for real GDP,78.942
2003,Wyoming,Compensation (millions of dollars),9953.8
2004,Alabama,Chain-type quantity indexes for real GDP,93.331
2004,Alabama,Compensation (millions of dollars),81588.9
2004,Alaska,Chain-type quantity indexes for real GDP,75.587
2004,Alaska,Compensation (millions of dollars),17454.3
2004,Arizona,Chain-type quantity indexes for real GDP,90.008
2004,Arizona,Compensation (millions of dollars),111133.6
2004,Arkansas,Chain-type quantity indexes for real GDP,93.771
2004,Arkansas,Compensation (millions of dollars),46064.2
2004,California,Chain-type quantity indexes for real GDP,87.592
2004,California,Compensation (millions of dollars),881668.6
2004,Colorado,Chain-type quantity indexes for real GDP,86.968
2004,Colorado,Compensation (millions of dollars),114072.4
2004,Connecticut,Chain-type quantity indexes for real GDP,96.893
2004,Connecticut,Compensation (millions of dollars),106028.1
2004,Delaware,Chain-type quantity indexes for real GDP,96.336
2004,Delaware,Compensation (millions of dollars),22709.7
2004,District of Columbia,Chain-type quantity indexes for real GDP,86.899
2004,District of Columbia,Compensation (millions of dollars),55561
2004,Florida,Chain-type quantity indexes for real GDP,98.792
2004,Florida,Compensation (millions of dollars),350823.8
2004,Georgia,Chain-type quantity indexes for real GDP,95.71
2004,Georgia,Compensation (millions of dollars),193534.9
2004,Hawaii,Chain-type quantity indexes for real GDP,88.058
2004,Hawaii,Compensation (millions of dollars),29982
2004,Idaho,Chain-type quantity indexes for real GDP,88.84
2004,Idaho,Compensation (millions of dollars),23926.6
2004,Illinois,Chain-type quantity indexes for real GDP,93.173
2004,Illinois,Compensation (millions of dollars),318668.9
2004,Indiana,Chain-type quantity indexes for real GDP,95.721
2004,Indiana,Compensation (millions of dollars),130675
2004,Iowa,Chain-type quantity indexes for real GDP,88.293
2004,Iowa,Compensation (millions of dollars),59519.6
2004,Kansas,Chain-type quantity indexes for real GDP,84.186
2004,Kansas,Compensation (millions of dollars),57791.2
2004,Kentucky,Chain-type quantity indexes for real GDP,92.425
2004,Kentucky,Compensation (millions of dollars),77558.3
2004,Louisiana,Chain-type quantity indexes for real GDP,98.865
2004,Louisiana,Compensation (millions of dollars),81364.7
2004,Maine,Chain-type quantity indexes for real GDP,101.074
2004,Maine,Compensation (millions of dollars),25796.4
2004,Maryland,Chain-type quantity indexes for real GDP,87.297
2004,Maryland,Compensation (millions of dollars),141449.6
2004,Massachusetts,Chain-type quantity indexes for real GDP,85.589
2004,Massachusetts,Compensation (millions of dollars),192669.1
2004,Michigan,Chain-type quantity indexes for real GDP,106.198
2004,Michigan,Compensation (millions of dollars),224611.1
2004,Minnesota,Chain-type quantity indexes for real GDP,92.368
2004,Minnesota,Compensation (millions of dollars),134376.4
2004,Mississippi,Chain-type quantity indexes for real GDP,94.061
2004,Mississippi,Compensation (millions of dollars),43788
2004,Missouri,Chain-type quantity indexes for real GDP,95.657
2004,Missouri,Compensation (millions of dollars),123171.8
2004,Montana,Chain-type quantity indexes for real GDP,83.911
2004,Montana,Compensation (millions of dollars),15179.3
2004,Nebraska,Chain-type quantity indexes for real GDP,83.705
2004,Nebraska,Compensation (millions of dollars),38898.8
2004,Nevada,Chain-type quantity indexes for real GDP,98.463
2004,Nevada,Compensation (millions of dollars),55558.5
2004,New Hampshire,Chain-type quantity indexes for real GDP,94.03
2004,New Hampshire,Compensation (millions of dollars),30504.8
2004,New Jersey,Chain-type quantity indexes for real GDP,96.336
2004,New Jersey,Compensation (millions of dollars),237220.4
2004,New Mexico,Chain-type quantity indexes for real GDP,94.442
2004,New Mexico,Compensation (millions of dollars),33613.7
2004,New York,Chain-type quantity indexes for real GDP,86.139
2004,New York,Compensation (millions of dollars),526453.5
2004,North Carolina,Chain-type quantity indexes for real GDP,87.444
2004,North Carolina,Compensation (millions of dollars),178461
2004,North Dakota,Chain-type quantity indexes for real GDP,54.568
2004,North Dakota,Compensation (millions of dollars),12699.8
2004,Ohio,Chain-type quantity indexes for real GDP,97.861
2004,Ohio,Compensation (millions of dollars),254188.5
2004,Oklahoma,Chain-type quantity indexes for real GDP,78.969
2004,Oklahoma,Compensation (millions of dollars),60659.9
2004,Oregon,Chain-type quantity indexes for real GDP,87.051
2004,Oregon,Compensation (millions of dollars),76667.5
2004,Pennsylvania,Chain-type quantity indexes for real GDP,90.184
2004,Pennsylvania,Compensation (millions of dollars),279045.6
2004,Rhode Island,Chain-type quantity indexes for real GDP,97.927
2004,Rhode Island,Compensation (millions of dollars),23947
2004,South Carolina,Chain-type quantity indexes for real GDP,92.38
2004,South Carolina,Compensation (millions of dollars),77612.2
2004,South Dakota,Chain-type quantity indexes for real GDP,78.06
2004,South Dakota,Compensation (millions of dollars),14025
2004,Tennessee,Chain-type quantity indexes for real GDP,90.994
2004,Tennessee,Compensation (millions of dollars),119725.6
2004,Texas,Chain-type quantity indexes for real GDP,78.067
2004,Texas,Compensation (millions of dollars),460522
2004,Utah,Chain-type quantity indexes for real GDP,79.411
2004,Utah,Compensation (millions of dollars),47417.4
2004,Vermont,Chain-type quantity indexes for real GDP,91.84
2004,Vermont,Compensation (millions of dollars),13135.4
2004,Virginia,Chain-type quantity indexes for real GDP,88.109
2004,Virginia,Compensation (millions of dollars),195008.1
2004,Washington,Chain-type quantity indexes for real GDP,79.856
2004,Washington,Compensation (millions of dollars),147795.2
2004,West Virginia,Chain-type quantity indexes for real GDP,91.237
2004,West Virginia,Compensation (millions of dollars),28037.8
2004,Wisconsin,Chain-type quantity indexes for real GDP,92.443
2004,Wisconsin,Compensation (millions of dollars),127847.2
2004,Wyoming,Chain-type quantity indexes for real GDP,81.573
2004,Wyoming,Compensation (millions of dollars),10626.6
2005,Alabama,Chain-type quantity indexes for real GDP,97.423
2005,Alabama,Compensation (millions of dollars),86356.8
2005,Alaska,Chain-type quantity indexes for real GDP,78.336
2005,Alaska,Compensation (millions of dollars),18584.7
2005,Arizona,Chain-type quantity indexes for real GDP,96.642
2005,Arizona,Compensation (millions of dollars),121777.9
2005,Arkansas,Chain-type quantity indexes for real GDP,97.685
2005,Arkansas,Compensation (millions of dollars),48480.3
2005,California,Chain-type quantity indexes for real GDP,91.186
2005,California,Compensation (millions of dollars),926929.3
2005,Colorado,Chain-type quantity indexes for real GDP,90.873
2005,Colorado,Compensation (millions of dollars),120699
2005,Connecticut,Chain-type quantity indexes for real GDP,99.019
2005,Connecticut,Compensation (millions of dollars),110615.4
2005,Delaware,Chain-type quantity indexes for real GDP,95.157
2005,Delaware,Compensation (millions of dollars),24150.2
2005,District of Columbia,Chain-type quantity indexes for real GDP,88.698
2005,District of Columbia,Compensation (millions of dollars),58969.9
2005,Florida,Chain-type quantity indexes for real GDP,104.78
2005,Florida,Compensation (millions of dollars),380964.1
2005,Georgia,Chain-type quantity indexes for real GDP,99.863
2005,Georgia,Compensation (millions of dollars),204406.2
2005,Hawaii,Chain-type quantity indexes for real GDP,93.35
2005,Hawaii,Compensation (millions of dollars),32024.1
2005,Idaho,Chain-type quantity indexes for real GDP,96.089
2005,Idaho,Compensation (millions of dollars),25715.5
2005,Illinois,Chain-type quantity indexes for real GDP,94.673
2005,Illinois,Compensation (millions of dollars),332910.6
2005,Indiana,Chain-type quantity indexes for real GDP,96.611
2005,Indiana,Compensation (millions of dollars),135176
2005,Iowa,Chain-type quantity indexes for real GDP,91.194
2005,Iowa,Compensation (millions of dollars),62370.9
2005,Kansas,Chain-type quantity indexes for real GDP,87.4
2005,Kansas,Compensation (millions of dollars),60118.3
2005,Kentucky,Chain-type quantity indexes for real GDP,96.091
2005,Kentucky,Compensation (millions of dollars),81538.3
2005,Louisiana,Chain-type quantity indexes for real GDP,105.263
2005,Louisiana,Compensation (millions of dollars),84468.3
2005,Maine,Chain-type quantity indexes for real GDP,102.323
2005,Maine,Compensation (millions of dollars),26301.2
2005,Maryland,Chain-type quantity indexes for real GDP,90.719
2005,Maryland,Compensation (millions of dollars),149594.1
2005,Massachusetts,Chain-type quantity indexes for real GDP,87.331
2005,Massachusetts,Compensation (millions of dollars),199116.4
2005,Michigan,Chain-type quantity indexes for real GDP,108.149
2005,Michigan,Compensation (millions of dollars),229499.2
2005,Minnesota,Chain-type quantity indexes for real GDP,95.411
2005,Minnesota,Compensation (millions of dollars),138407.9
2005,Mississippi,Chain-type quantity indexes for real GDP,96.388
2005,Mississippi,Compensation (millions of dollars),45760.6
2005,Missouri,Chain-type quantity indexes for real GDP,97.864
2005,Missouri,Compensation (millions of dollars),128904.5
2005,Montana,Chain-type quantity indexes for real GDP,88.269
2005,Montana,Compensation (millions of dollars),16295.4
2005,Nebraska,Chain-type quantity indexes for real GDP,86.939
2005,Nebraska,Compensation (millions of dollars),40559.2
2005,Nevada,Chain-type quantity indexes for real GDP,106.338
2005,Nevada,Compensation (millions of dollars),61302.9
2005,New Hampshire,Chain-type quantity indexes for real GDP,94.943
2005,New Hampshire,Compensation (millions of dollars),31938.5
2005,New Jersey,Chain-type quantity indexes for real GDP,98.202
2005,New Jersey,Compensation (millions of dollars),247666.2
2005,New Mexico,Chain-type quantity indexes for real GDP,95.575
2005,New Mexico,Compensation (millions of dollars),35841.7
2005,New York,Chain-type quantity indexes for real GDP,88.003
2005,New York,Compensation (millions of dollars),552341.8
2005,North Carolina,Chain-type quantity indexes for real GDP,91.891
2005,North Carolina,Compensation (millions of dollars),188830.1
2005,North Dakota,Chain-type quantity indexes for real GDP,56.615
2005,North Dakota,Compensation (millions of dollars),13363.4
2005,Ohio,Chain-type quantity indexes for real GDP,100.042
2005,Ohio,Compensation (millions of dollars),261403
2005,Oklahoma,Chain-type quantity indexes for real GDP,82.042
2005,Oklahoma,Compensation (millions of dollars),64103.4
2005,Oregon,Chain-type quantity indexes for real GDP,90.58
2005,Oregon,Compensation (millions of dollars),81183.8
2005,Pennsylvania,Chain-type quantity indexes for real GDP,91.809
2005,Pennsylvania,Compensation (millions of dollars),290578.8
2005,Rhode Island,Chain-type quantity indexes for real GDP,99.586
2005,Rhode Island,Compensation (millions of dollars),24809.6
2005,South Carolina,Chain-type quantity indexes for real GDP,95.423
2005,South Carolina,Compensation (millions of dollars),81710.1
2005,South Dakota,Chain-type quantity indexes for real GDP,81.642
2005,South Dakota,Compensation (millions of dollars),14694.7
2005,Tennessee,Chain-type quantity indexes for real GDP,93.731
2005,Tennessee,Compensation (millions of dollars),124891.8
2005,Texas,Chain-type quantity indexes for real GDP,80.312
2005,Texas,Compensation (millions of dollars),491630
2005,Utah,Chain-type quantity indexes for real GDP,84.97
2005,Utah,Compensation (millions of dollars),51023.8
2005,Vermont,Chain-type quantity indexes for real GDP,92.32
2005,Vermont,Compensation (millions of dollars),13642.6
2005,Virginia,Chain-type quantity indexes for real GDP,92.401
2005,Virginia,Compensation (millions of dollars),207792
2005,Washington,Chain-type quantity indexes for real GDP,84.994
2005,Washington,Compensation (millions of dollars),156207.3
2005,West Virginia,Chain-type quantity indexes for real GDP,93.396
2005,West Virginia,Compensation (millions of dollars),29273.8
2005,Wisconsin,Chain-type quantity indexes for real GDP,95.161
2005,Wisconsin,Compensation (millions of dollars),132127.8
2005,Wyoming,Chain-type quantity indexes for real GDP,86.176
2005,Wyoming,Compensation (millions of dollars),11525.3
2006,Alabama,Chain-type quantity indexes for real GDP,98.957
2006,Alabama,Compensation (millions of dollars),91148
2006,Alaska,Chain-type quantity indexes for real GDP,84.398
2006,Alaska,Compensation (millions of dollars),19600.3
2006,Arizona,Chain-type quantity indexes for real GDP,101.009
2006,Arizona,Compensation (millions of dollars),134607.4
2006,Arkansas,Chain-type quantity indexes for real GDP,99.971
2006,Arkansas,Compensation (millions of dollars),51110.2
2006,California,Chain-type quantity indexes for real GDP,94.763
2006,California,Compensation (millions of dollars),980936.4
2006,Colorado,Chain-type quantity indexes for real GDP,92.994
2006,Colorado,Compensation (millions of dollars),128021.9
2006,Connecticut,Chain-type quantity indexes for real GDP,103.039
2006,Connecticut,Compensation (millions of dollars),115349.1
2006,Delaware,Chain-type quantity indexes for real GDP,97.225
2006,Delaware,Compensation (millions of dollars),25518
2006,District of Columbia,Chain-type quantity indexes for real GDP,88.987
2006,District of Columbia,Compensation (millions of dollars),61493
2006,Florida,Chain-type quantity indexes for real GDP,107.889
2006,Florida,Compensation (millions of dollars),404090.7
2006,Georgia,Chain-type quantity indexes for real GDP,101.176
2006,Georgia,Compensation (millions of dollars),216299.7
2006,Hawaii,Chain-type quantity indexes for real GDP,95.625
2006,Hawaii,Compensation (millions of dollars),33875.3
2006,Idaho,Chain-type quantity indexes for real GDP,98.782
2006,Idaho,Compensation (millions of dollars),28405.3
2006,Illinois,Chain-type quantity indexes for real GDP,97.03
2006,Illinois,Compensation (millions of dollars),351335
2006,Indiana,Chain-type quantity indexes for real GDP,98.535
2006,Indiana,Compensation (millions of dollars),140881.4
2006,Iowa,Chain-type quantity indexes for real GDP,92.442
2006,Iowa,Compensation (millions of dollars),65579.9
2006,Kansas,Chain-type quantity indexes for real GDP,91.924
2006,Kansas,Compensation (millions of dollars),63829.5
2006,Kentucky,Chain-type quantity indexes for real GDP,98.604
2006,Kentucky,Compensation (millions of dollars),84967.7
2006,Louisiana,Chain-type quantity indexes for real GDP,104.297
2006,Louisiana,Compensation (millions of dollars),89793.9
2006,Maine,Chain-type quantity indexes for real GDP,103.295
2006,Maine,Compensation (millions of dollars),27779.6
2006,Maryland,Chain-type quantity indexes for real GDP,91.962
2006,Maryland,Compensation (millions of dollars),157229.9
2006,Massachusetts,Chain-type quantity indexes for real GDP,89.302
2006,Massachusetts,Compensation (millions of dollars),209686
2006,Michigan,Chain-type quantity indexes for real GDP,106.426
2006,Michigan,Compensation (millions of dollars),231338.3
2006,Minnesota,Chain-type quantity indexes for real GDP,95.325
2006,Minnesota,Compensation (millions of dollars),143100
2006,Mississippi,Chain-type quantity indexes for real GDP,98.564
2006,Mississippi,Compensation (millions of dollars),48147.4
2006,Missouri,Chain-type quantity indexes for real GDP,98.411
2006,Missouri,Compensation (millions of dollars),135300.6
2006,Montana,Chain-type quantity indexes for real GDP,91.112
2006,Montana,Compensation (millions of dollars),17591
2006,Nebraska,Chain-type quantity indexes for real GDP,89.396
2006,Nebraska,Compensation (millions of dollars),42662.3
2006,Nevada,Chain-type quantity indexes for real GDP,110.559
2006,Nevada,Compensation (millions of dollars),65874.9
2006,New Hampshire,Chain-type quantity indexes for real GDP,97.27
2006,New Hampshire,Compensation (millions of dollars),33656.6
2006,New Jersey,Chain-type quantity indexes for real GDP,99.901
2006,New Jersey,Compensation (millions of dollars),258040.9
2006,New Mexico,Chain-type quantity indexes for real GDP,97.877
2006,New Mexico,Compensation (millions of dollars),38228
2006,New York,Chain-type quantity indexes for real GDP,90.291
2006,New York,Compensation (millions of dollars),591588.9
2006,North Carolina,Chain-type quantity indexes for real GDP,97.554
2006,North Carolina,Compensation (millions of dollars),201938.3
2006,North Dakota,Chain-type quantity indexes for real GDP,59.017
2006,North Dakota,Compensation (millions of dollars),14278.5
2006,Ohio,Chain-type quantity indexes for real GDP,99.957
2006,Ohio,Compensation (millions of dollars),271984.8
2006,Oklahoma,Chain-type quantity indexes for real GDP,87.41
2006,Oklahoma,Compensation (millions of dollars),69916.4
2006,Oregon,Chain-type quantity indexes for real GDP,95.13
2006,Oregon,Compensation (millions of dollars),87053.9
2006,Pennsylvania,Chain-type quantity indexes for real GDP,92.174
2006,Pennsylvania,Compensation (millions of dollars),305944.4
2006,Rhode Island,Chain-type quantity indexes for real GDP,102.552
2006,Rhode Island,Compensation (millions of dollars),26111.2
2006,South Carolina,Chain-type quantity indexes for real GDP,97.609
2006,South Carolina,Compensation (millions of dollars),86982.8
2006,South Dakota,Chain-type quantity indexes for real GDP,82.801
2006,South Dakota,Compensation (millions of dollars),15388.2
2006,Tennessee,Chain-type quantity indexes for real GDP,95.997
2006,Tennessee,Compensation (millions of dollars),131117.2
2006,Texas,Chain-type quantity indexes for real GDP,86.446
2006,Texas,Compensation (millions of dollars),536102.3
2006,Utah,Chain-type quantity indexes for real GDP,91.483
2006,Utah,Compensation (millions of dollars),56411
2006,Vermont,Chain-type quantity indexes for real GDP,92.776
2006,Vermont,Compensation (millions of dollars),14091.6
2006,Virginia,Chain-type quantity indexes for real GDP,94.147
2006,Virginia,Compensation (millions of dollars),217626.5
2006,Washington,Chain-type quantity indexes for real GDP,88.199
2006,Washington,Compensation (millions of dollars),167498.7
2006,West Virginia,Chain-type quantity indexes for real GDP,95.079
2006,West Virginia,Compensation (millions of dollars),31157.9
2006,Wisconsin,Chain-type quantity indexes for real GDP,96.802
2006,Wisconsin,Compensation (millions of dollars),137767.4
2006,Wyoming,Chain-type quantity indexes for real GDP,97.318
2006,Wyoming,Compensation (millions of dollars),13422.8
2007,Alabama,Chain-type quantity indexes for real GDP,99.872
2007,Alabama,Compensation (millions of dollars),95286.4
2007,Alaska,Chain-type quantity indexes for real GDP,88.74
2007,Alaska,Compensation (millions of dollars),20790.2
2007,Arizona,Chain-type quantity indexes for real GDP,104.351
