Rank,Title,US Gross,Worldwide Gross,Production Budget,Release Date,MPAA Rating,Source,Major Genre,Creative Type,IMDB Rating,IMDB Votes
433,Fong juk,51957,51957,4500000,Aug 31 2007,Other,Original Screenplay,Action/Adventure,Fiction,7.3,3699
434,The Princess and the Cobbler,669276,669276,24000000,Aug 25 1995,G,Original Screenplay,Action/Adventure,Fiction,7.3,893
435,Dayereh,673780,673780,10000,Mar 09 2001,Other,Original Screenplay,Drama,Fiction,7.3,1851
436,Buffalo '66,2380606,2380606,1500000,Jun 26 1998,R,Original Screenplay,Comedy,Fiction,7.3,17762
437,L'auberge espagnole,3895664,3895664,5900000,May 16 2003,R,Original Screenplay,Comedy,Fiction,7.3,15696
438,Welcome to the Dollhouse,4198137,4726732,800000,May 10 1996,R,Original Screenplay,Comedy,Fiction,7.3,13469
439,Love Letters,5269990,5269990,550000,Apr 27 1984,PG/PG-13,Original Screenplay,Horror/Thriller,Fiction,7.3,477
440,Veer-Zaara,2938532,7017859,7000000,Nov 12 2004,Other,Original Screenplay,Drama,Fiction,7.3,4155
441,De battre mon coeur s'est arrÍtÈ,1023424,8589831,5500000,Jul 01 2005,Other,Original Screenplay,Drama,Fiction,7.3,7295
442,Bella,8093373,9220041,3300000,Oct 26 2007,PG/PG-13,Original Screenplay,Drama,Fiction,7.3,6562
443,Away We Go,9451946,10108016,21000000,Jun 05 2009,R,Original Screenplay,Comedy,Fiction,7.3,14929
444,Narc,10465659,10465659,7500000,Dec 20 2002,R,Original Screenplay,Horror/Thriller,Fiction,7.3,19248
445,Two Lovers,3149034,11549034,12000000,Feb 13 2009,R,Original Screenplay,Drama,Fiction,7.3,10325
446,Frailty,13110448,17423030,11000000,Apr 12 2002,R,Original Screenplay,Horror/Thriller,Fiction,7.3,27629
447,Rounders,22921898,22921898,12000000,Sep 11 1998,R,Original Screenplay,Drama,Fiction,7.3,45439
448,The Life of David Gale,19694635,28920188,50000000,Feb 21 2003,R,Original Screenplay,Horror/Thriller,Fiction,7.3,37628
449,Sunshine,3688560,32030610,40000000,Jul 20 2007,R,Original Screenplay,Horror/Thriller,Fiction,7.3,74535
450,Agora,599903,32912303,70000000,May 28 2010,R,Original Screenplay,Drama,Fiction,7.3,10054
451,Gosford Park,41300105,41300105,18000000,Dec 26 2001,R,Original Screenplay,Comedy,Fiction,7.3,36648
452,Dogma,30651422,43948865,10000000,Nov 12 1999,R,Original Screenplay,Comedy,Fiction,7.3,100476
453,Team America: World Police,32774834,50274834,20000000,Oct 15 2004,R,Original Screenplay,Comedy,Fiction,7.3,58763
454,Bad Santa,60060328,60063017,18000000,Nov 26 2003,R,Original Screenplay,Comedy,Fiction,7.3,45022
455,The Crying Game,62546695,62546695,4000000,Nov 25 1992,R,Original Screenplay,Drama,Fiction,7.3,21195
456,Frequency,44983704,68079671,31000000,Apr 28 2000,PG/PG-13,Original Screenplay,Drama,Fiction,7.3,35968
457,Identity,52131264,90231264,28000000,Apr 25 2003,R,Original Screenplay,Horror/Thriller,Fiction,7.3,57909
458,Three Kings,60652036,107752036,48000000,Oct 01 1999,R,Original Screenplay,Action/Adventure,Fiction,7.3,68726
459,Moulin Rouge,57386369,179213196,53000000,May 18 2001,PG/PG-13,Original Screenplay,Western/Musical,Fiction,7.3,2105
460,Chicken Run,106793915,227793915,42000000,Jun 21 2000,G,Original Screenplay,Action/Adventure,Fiction,7.3,48307
461,Face/Off,112276146,241200000,80000000,Jun 27 1997,R,Original Screenplay,Action/Adventure,Fiction,7.3,102001
462,Unbreakable,94999143,248099143,73243106,Nov 22 2000,PG/PG-13,Original Screenplay,Horror/Thriller,Fiction,7.3,97324
463,A Bug's Life,162798565,363109485,45000000,Nov 20 1998,G,Original Screenplay,Action/Adventure,Fiction,7.3,56866
464,Eight Below,81612565,120612565,40000000,Feb 17 2006,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.3,17717
465,Cape Fear,79091969,182291969,35000000,Nov 15 1991,R,Adapted screenplay,Horror/Thriller,Fiction,7.3,47196
466,AimÈe & Jaguar,927107,927107,6800000,Aug 11 2000,Other,Adapted screenplay,Drama,Non-Fiction,7.2,2974
467,The Virgin Suicides,4859475,4859475,6000000,Apr 21 2000,R,Adapted screenplay,Comedy,Fiction,7.2,49110
468,A Scanner Darkly,5501616,7405084,20000000,Jul 07 2006,R,Adapted screenplay,Horror/Thriller,Fiction,7.2,41928
469,The Quiet American,12987647,12987647,20000000,Nov 22 2002,R,Adapted screenplay,Drama,Fiction,7.2,14285
470,The Man in the Iron Mask,56968169,56968169,35000000,Mar 13 1998,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.2,561
471,Flags of Our Fathers,33602376,61902376,53000000,Oct 20 2006,R,Adapted screenplay,Drama,Fiction,7.2,42788
472,Friday Night Lights,61255921,61950770,30000000,Oct 08 2004,PG/PG-13,Adapted screenplay,Drama,Fiction,7.2,20868
473,The Talented Mr. Ripley,81292135,81292135,40000000,Dec 25 1999,R,Adapted screenplay,Drama,Fiction,7.2,63319
474,Eyes Wide Shut,55691208,86257553,65000000,Jul 16 1999,R,Adapted screenplay,Drama,Fiction,7.2,93880
475,Shooter,47003582,95203582,60000000,Mar 23 2007,R,Adapted screenplay,Horror/Thriller,Fiction,7.2,149
476,Jarhead,62647540,96947540,72000000,Nov 04 2005,R,Adapted screenplay,Drama,Non-Fiction,7.2,60650
477,Where the Wild Things Are,77233467,99123656,100000000,Oct 16 2009,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.2,30669
478,Body of Lies,39394666,108394666,67500000,Oct 10 2008,R,Adapted screenplay,Horror/Thriller,Fiction,7.2,53921
479,Julie & Julia,94125426,126646119,40000000,Aug 07 2009,PG/PG-13,Adapted screenplay,Comedy,Fiction,7.2,22269
480,Cloudy with a Chance of Meatballs,124870275,139525862,100000000,Sep 18 2009,PG/PG-13,Adapted screenplay,Comedy,Fiction,7.2,19913
481,The Bridges of Madison County,71516617,175516617,22000000,Jun 02 1995,PG/PG-13,Adapted screenplay,Drama,Fiction,7.2,21923
482,Horton Hears a Who,154529439,297133947,85000000,Mar 14 2008,G,Adapted screenplay,Action/Adventure,Fiction,7.2,31323
483,Goldeneye,106429941,356429941,60000000,Nov 17 1995,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.2,69199
484,Harry Potter and the Chamber of Secrets,261987880,878987880,100000000,Nov 15 2002,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.2,120063
485,Harry Potter and the Sorcerer's Stone,317557891,976457891,125000000,Nov 16 2001,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.2,132238
486,In the Company of Men,2883661,2883661,25000,Aug 01 1997,R,Adapted screenplay,Drama,Fiction,7.2,7601
487,Beyond the Mat,2047570,2047570,500000,Oct 22 1999,R,Adapted screenplay,Documentary,Non-Fiction,7.2,4067
488,The Young Victoria,11001272,11001272,35000000,Dec 18 2009,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,7.2,8408
489,Kinsey,10214647,13000959,11000000,Nov 12 2004,R,Adapted screenplay,Drama,Non-Fiction,7.2,20135
490,Michael Jordan to the MAX,18642318,18642318,7000000,May 05 2000,Other,Adapted screenplay,Documentary,Non-Fiction,7.2,746
491,North Country,18324242,23624242,30000000,Oct 21 2005,R,Adapted screenplay,Drama,Non-Fiction,7.2,16497
492,Mar adentro,2086345,39686345,13300000,Dec 17 2004,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,7.2,466
493,Erin Brockovich,125548685,258400000,50000000,Mar 17 2000,R,Adapted screenplay,Drama,Non-Fiction,7.2,54977
494,Jackass: Number Two,72778712,83578712,11000000,Sep 22 2006,R,Adapted screenplay,Comedy,Non-Fiction,7.2,24434
495,The Phantom of the Opera,51225796,158225796,55000000,Dec 22 2004,PG/PG-13,Adapted screenplay,Western/Musical,Fiction,7.2,42832
496,Chicago,170687518,307687518,30000000,Dec 27 2002,PG/PG-13,Adapted screenplay,Western/Musical,Fiction,7.2,82650
497,Cama adentro,200433,200433,800000,Jul 18 2007,Other,Original Screenplay,Drama,Fiction,7.2,466
498,Journey from the Fall,635305,635305,1300000,Mar 23 2007,R,Original Screenplay,Drama,Fiction,7.2,586
499,Dinner Rush,638227,1075504,2000000,Sep 28 2001,R,Original Screenplay,Drama,Fiction,7.2,2991
500,L.I.E.,1138836,1138836,700000,Sep 07 2001,Other,Original Screenplay,Drama,Fiction,7.2,5122
501,Hard Candy,1024640,1881243,950000,Apr 14 2006,R,Original Screenplay,Horror/Thriller,Fiction,7.2,45791
502,Pieces of April,2528664,3284124,300000,Oct 17 2003,PG/PG-13,Original Screenplay,Comedy,Fiction,7.2,12153
503,Frozen River,2503902,5281776,1000000,Aug 01 2008,R,Original Screenplay,Drama,Fiction,7.2,10447
504,IndigËnes,320700,6877936,18900000,Dec 15 2006,Other,Original Screenplay,Drama,Fiction,7.2,5775
505,Deconstructing Harry,10686841,10686841,20000000,Dec 12 1997,R,Original Screenplay,Comedy,Fiction,7.2,16820
506,Highlander,5900000,12900000,16000000,Mar 07 1986,R,Original Screenplay,Action/Adventure,Fiction,7.2,40802
507,Monsoon Wedding,13876974,13876974,1200000,Feb 22 2002,R,Original Screenplay,Comedy,Fiction,7.2,11314
508,Harold & Kumar Go to White Castle,18225165,18225165,9000000,Jul 30 2004,R,Original Screenplay,Comedy,Fiction,7.2,56030
509,A Mighty Wind,17583468,18552708,6000000,Apr 16 2003,PG/PG-13,Original Screenplay,Comedy,Fiction,7.2,13602
510,Waitress,19097550,22202180,1500000,May 02 2007,PG/PG-13,Original Screenplay,Comedy,Fiction,7.2,20384
511,Arlington Road,24419219,24419219,21500000,Jul 09 1999,R,Original Screenplay,Horror/Thriller,Fiction,7.2,36051
512,A Serious Man,9228788,30710147,7000000,Oct 02 2009,R,Original Screenplay,Comedy,Fiction,7.2,32396
513,The Life Aquatic with Steve Zissou,24006726,34806726,50000000,Dec 10 2004,R,Original Screenplay,Comedy,Fiction,7.2,57889
514,Ronin,41610884,41610884,55000000,Sep 25 1998,R,Original Screenplay,Action/Adventure,Fiction,7.2,57484
515,Monster's Ball,31273922,44873922,4000000,Dec 26 2001,R,Original Screenplay,Drama,Fiction,7.2,38023
516,The Negotiator,44705766,49105766,50000000,Jul 29 1998,R,Original Screenplay,Action/Adventure,Fiction,7.2,46511
517,Finding Forrester,51768623,80013623,43000000,Dec 19 2000,PG/PG-13,Original Screenplay,Drama,Fiction,7.2,35966
518,Galaxy Quest,71423726,90523726,45000000,Dec 25 1999,PG/PG-13,Original Screenplay,Comedy,Fiction,7.2,52507
519,Phone Booth,46566212,97837138,11000000,Apr 04 2003,R,Original Screenplay,Horror/Thriller,Fiction,7.2,68874
520,Law Abiding Citizen,73357727,113190972,53000000,Oct 16 2009,R,Original Screenplay,Horror/Thriller,Fiction,7.2,45577
521,The School of Rock,81261177,131161177,20000000,Oct 03 2003,PG/PG-13,Original Screenplay,Comedy,Fiction,7.2,63188
522,Crimson Tide,91387195,159387195,55000000,May 12 1995,R,Original Screenplay,Action/Adventure,Fiction,7.2,33354
523,Burn After Reading,60355347,163415735,37000000,Sep 12 2008,R,Original Screenplay,Comedy,Fiction,7.2,92553
524,Tropic Thunder,110461307,188163455,90000000,Aug 13 2008,R,Original Screenplay,Comedy,Fiction,7.2,104839
525,Dumb & Dumber,127175374,246400000,16000000,Dec 16 1994,PG/PG-13,Original Screenplay,Comedy,Fiction,7.2,88093
526,Enemy of the State,111549836,250649836,85000000,Nov 20 1998,R,Original Screenplay,Action/Adventure,Fiction,7.2,66700
527,The Full Monty,45950122,257938649,3500000,Aug 13 1997,R,Original Screenplay,Comedy,Fiction,7.2,40877
528,Jerry Maguire,153952592,274000000,50000000,Dec 13 1996,R,Original Screenplay,Comedy,Fiction,7.2,78603
529,The Rock,134069511,336069511,75000000,Jun 07 1996,R,Original Screenplay,Action/Adventure,Fiction,7.2,108324
530,There's Something About Mary,176484651,360099999,22000000,Jul 15 1998,R,Original Screenplay,Comedy,Fiction,7.2,96443
531,Hairspray,118823091,202823091,75000000,Jul 20 2007,PG/PG-13,Adapted screenplay,Western/Musical,Fiction,7.2,41511
532,True Lies,146282411,365300000,100000000,Jul 15 1994,R,Adapted screenplay,Action/Adventure,Fiction,7.2,80581
533,The War of the Worlds,234280354,591745532,132000000,Jun 29 2005,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.2,12074
534,Mulan,120620254,303500000,90000000,Jun 19 1998,G,Adapted screenplay,Action/Adventure,Non-Fiction,7.2,34256
535,Me and Orson Welles,1190003,1190003,25000000,Nov 25 2009,PG/PG-13,Adapted screenplay,Drama,Fiction,7.1,2417
536,Infamous,1151330,2613717,13000000,Oct 13 2006,R,Adapted screenplay,Drama,Non-Fiction,7.1,6917
537,The Express,9793406,9808102,37500000,Oct 04 2008,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,7.1,4749
538,Being Julia,7739049,11039049,18000000,Oct 15 2004,R,Adapted screenplay,Drama,Fiction,7.1,7067
539,Whip It,13043363,13043363,15000000,Oct 02 2009,PG/PG-13,Adapted screenplay,Comedy,Fiction,7.1,14068
540,The Merchant of Venice,3765585,18765585,30000000,Dec 29 2004,R,Adapted screenplay,Drama,Fiction,7.1,14021
541,A Stir of Echoes,21133087,21133087,12000000,Sep 10 1999,R,Adapted screenplay,Horror/Thriller,Fiction,7.1,26752
542,Girl with a Pearl Earring,11634362,22106210,12000000,Dec 12 2003,PG/PG-13,Adapted screenplay,Drama,Fiction,7.1,23493
543,Confessions of a Dangerous Mind,16007718,33013805,29000000,Dec 31 2002,R,Adapted screenplay,Drama,Non-Fiction,7.1,36258
544,Out of Sight,37562568,37562568,48000000,Jun 26 1998,R,Adapted screenplay,Drama,Fiction,7.1,38263
545,A Walk to Remember,41227069,46060915,11000000,Jan 25 2002,PG/PG-13,Adapted screenplay,Drama,Fiction,7.1,38045
546,Little Women,50003303,50003303,15000000,Dec 21 1994,PG/PG-13,Adapted screenplay,Drama,Fiction,7.1,16514
547,Legends of the Fall,66502573,66502573,30000000,Dec 23 1994,R,Adapted screenplay,Drama,Fiction,7.1,39815
548,Holes,67383924,72383924,20000000,Apr 18 2003,PG/PG-13,Adapted screenplay,Drama,Fiction,7.1,19388
549,Peter Pan,87400000,87400000,4000000,Feb 05 1953,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.1,16894
550,Syriana,50824620,95024620,50000000,Nov 23 2005,R,Adapted screenplay,Horror/Thriller,Fiction,7.1,53265
551,Peter Pan,48417850,95255485,100000000,Dec 25 2003,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.1,16894
552,The Time Traveler's Wife,63414846,98666635,39000000,Aug 14 2009,PG/PG-13,Adapted screenplay,Drama,Fiction,7.1,23908
553,Starship Troopers,54768952,121100000,100000000,Nov 07 1997,R,Adapted screenplay,Action/Adventure,Fiction,7.1,83516
554,A Time to Kill,108766007,152266007,40000000,Jul 24 1996,R,Adapted screenplay,Drama,Fiction,7.1,38577
555,Memoirs of a Geisha,57010853,161510853,85000000,Dec 09 2005,PG/PG-13,Adapted screenplay,Drama,Fiction,7.1,38695
556,Public Enemies,97104620,210379983,102500000,Jul 01 2009,R,Adapted screenplay,Drama,Non-Fiction,7.1,71323
557,I am Legend,256393010,585055701,150000000,Dec 14 2007,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,7.1,153631
558,The Passion of the Christ,370782930,611899420,25000000,Feb 25 2004,R,Adapted screenplay,Drama,Non-Fiction,7.1,87326
559,The Incredible Hulk,134806913,263349257,137500000,Jun 13 2008,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.1,82419
560,Green Zone,35053660,84788541,100000000,Mar 12 2010,R,Adapted screenplay,Drama,Fiction,7.1,26759
561,Once in a Lifetime: the Extraordinary Story of the New York Cosmos,144601,206351,1000000,Jul 07 2006,PG/PG-13,Adapted screenplay,Documentary,Non-Fiction,7.1,643
562,Tarnation,592014,1162014,218,Oct 06 2004,Other,Adapted screenplay,Documentary,Non-Fiction,7.1,3847
563,Find Me Guilty,1173673,1788077,13000000,Mar 17 2006,R,Adapted screenplay,Drama,Non-Fiction,7.1,12800
564,Topsy Turvy,6201757,6201757,20000000,Dec 17 1999,R,Adapted screenplay,Western/Musical,Non-Fiction,7.1,6215
565,Bright Star,4444637,9469105,8500000,Jan 26 2010,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,7.1,5957
566,Pollock,8596914,10557291,6000000,Dec 15 2000,R,Adapted screenplay,Drama,Non-Fiction,7.1,9669
567,I'm Not There,4017609,11498547,20000000,Nov 21 2007,R,Adapted screenplay,Drama,Non-Fiction,7.1,23078
568,Bobby,11242801,20597806,14000000,Nov 17 2006,R,Adapted screenplay,Drama,Non-Fiction,7.1,23262
569,Nixon,13668249,34668249,45000000,Dec 20 1995,R,Adapted screenplay,Drama,Non-Fiction,7.1,13761
570,Miss Potter,3005605,35025861,30000000,Dec 29 2006,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,7.1,10236
571,Amistad,44212592,44212592,40000000,Dec 12 1997,R,Adapted screenplay,Drama,Non-Fiction,7.1,28477
572,The Terminal,77073959,218673959,75000000,Jun 18 2004,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,7.1,79803
573,The Mudge Boy,62544,62544,800000,May 07 2004,R,Original Screenplay,Drama,Fiction,7.1,1576
574,The Lucky Ones,266967,266967,14000000,Sep 26 2008,R,Original Screenplay,Drama,Fiction,7.1,4719
575,The Salton Sea,676698,676698,18000000,Apr 26 2002,R,Original Screenplay,Horror/Thriller,Fiction,7.1,16415
576,Twin Falls Idaho,985341,1027228,500000,Jul 30 1999,R,Original Screenplay,Drama,Fiction,7.1,2810
577,Mallrats,2108367,2108367,6100000,Oct 20 1995,R,Original Screenplay,Comedy,Fiction,7.1,52807
578,Quinceanera,1692693,2522787,400000,Aug 02 2006,R,Original Screenplay,Drama,Fiction,7.1,2577
579,The Wackness,2077046,2635650,6000000,Jul 03 2008,R,Original Screenplay,Comedy,Fiction,7.1,13257
580,Junebug,2678010,2678010,1000000,Aug 03 2005,R,Original Screenplay,Drama,Fiction,7.1,11457
581,Raising Victor Vargas,2073984,2811439,800000,Mar 28 2003,R,Original Screenplay,Drama,Fiction,7.1,3719
582,Thirteen Conversations About One Thing,3287435,3705923,3000000,May 24 2002,R,Original Screenplay,Drama,Fiction,7.1,6188
583,Better Luck Tomorrow,3802390,3809226,250000,Apr 11 2003,R,Original Screenplay,Drama,Fiction,7.1,5959
584,Exotica,5046118,5046118,1500000,Sep 23 1994,R,Original Screenplay,Drama,Fiction,7.1,8402
585,Sexy Beast,6946056,6946056,4300000,Jun 13 2001,R,Original Screenplay,Drama,Fiction,7.1,20916
586,Black Snake Moan,9396870,9396870,15000000,Mar 02 2007,R,Original Screenplay,Drama,Fiction,7.1,28145
587,Banlieue 13,1200216,11208291,15000000,Jun 02 2006,R,Original Screenplay,Action/Adventure,Fiction,7.1,21427
588,Mrs. Henderson Presents,11036366,14466366,20000000,Dec 09 2005,R,Original Screenplay,Comedy,Fiction,7.1,8831
589,The Jacket,6301131,15452978,28500000,Mar 04 2005,R,Original Screenplay,Horror/Thriller,Fiction,7.1,35932
590,An Unfinished Life,8535575,18535575,30000000,Sep 09 2005,PG/PG-13,Original Screenplay,Drama,Fiction,7.1,11770
591,The Apostle,20733485,21277770,5000000,Dec 17 1997,PG/PG-13,Original Screenplay,Drama,Fiction,7.1,7757
592,From Dusk Till Dawn,25728961,25728961,20000000,Jan 19 1996,R,Original Screenplay,Horror/Thriller,Fiction,7.1,80234
593,Traitor,23530831,27664173,22000000,Aug 27 2008,PG/PG-13,Original Screenplay,Horror/Thriller,Fiction,7.1,22468
594,Crank,27838408,33824696,12000000,Sep 01 2006,R,Original Screenplay,Action/Adventure,Fiction,7.1,71094
595,Danny the Dog,24537621,49037621,43000000,May 13 2005,R,Original Screenplay,Action/Adventure,Fiction,7.1,36119
596,The Imaginarium of Doctor Parnassus,7689458,58692979,30000000,Dec 25 2009,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,7.1,33374
597,28 Weeks Later,28638916,64238440,15000000,May 11 2007,R,Original Screenplay,Horror/Thriller,Fiction,7.1,69558
598,Austin Powers: International Man of Mystery,53883989,67683989,18000000,May 02 1997,PG/PG-13,Original Screenplay,Comedy,Fiction,7.1,74487
599,Coach Carter,67264877,76669806,45000000,Jan 14 2005,PG/PG-13,Original Screenplay,Drama,Fiction,7.1,23526
600,Drag Me To Hell,42100625,85724728,30000000,May 29 2009,PG/PG-13,Original Screenplay,Horror/Thriller,Fiction,7.1,51343
601,The Kingdom,47467250,86509602,72500000,Sep 28 2007,R,Original Screenplay,Action/Adventure,Fiction,7.1,47200
602,Gwoemul,2201923,89006691,12000000,Mar 09 2007,R,Original Screenplay,Action/Adventure,Fiction,7.1,26783
603,Kingdom of Heaven,47398413,211398413,110000000,May 06 2005,R,Original Screenplay,Action/Adventure,Fiction,7.1,83189
604,Four Weddings and a Funeral,52700832,242895809,4500000,Mar 09 1994,R,Original Screenplay,Comedy,Fiction,7.1,39003
605,Lilo & Stitch,145771527,245800000,80000000,Jun 21 2002,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,7.1,25611
606,The Matrix Reloaded,281553689,738576929,127000000,May 15 2003,R,Original Screenplay,Action/Adventure,Fiction,7.1,148874
607,Ice Age: Dawn of the Dinosaurs,196573705,886685941,90000000,Jul 01 2009,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,7.1,33289
608,The Bad News Bears,32868349,33500620,35000000,Jul 22 2005,PG/PG-13,Adapted screenplay,Comedy,Fiction,7.1,7749
609,Charlie and the Chocolate Factory,206459076,474459076,150000000,Jul 15 2005,PG/PG-13,Adapted screenplay,Comedy,Fiction,7.1,102437
610,Owning Mahowny,1011054,1011054,10000000,May 02 2003,R,Adapted screenplay,Drama,Non-Fiction,7,5789
611,Last Orders,2326407,2326407,12000000,Feb 15 2002,R,Adapted screenplay,Drama,Fiction,7,3463
612,My Summer of Love,1000915,3800915,1700000,Jun 17 2005,R,Adapted screenplay,Drama,Fiction,7,7242
613,The Last Station,6616974,6616974,18000000,Jan 15 2010,R,Adapted screenplay,Drama,Non-Fiction,7,3465
614,Angela's Ashes,13038660,13038660,25000000,Dec 24 1999,R,Adapted screenplay,Drama,Fiction,7,10185
615,White Oleander,16357770,21657770,16000000,Oct 11 2002,PG/PG-13,Adapted screenplay,Drama,Fiction,7,13755
616,The Outsiders,25697647,25697647,10000000,Mar 25 1983,PG/PG-13,Adapted screenplay,Drama,Fiction,7,23607
617,Oliver Twist,2070920,26670920,65000000,Sep 23 2005,PG/PG-13,Adapted screenplay,Drama,Fiction,7,10748
618,The Secret Life of Bees,37766350,39612166,11000000,Oct 17 2008,PG/PG-13,Adapted screenplay,Drama,Fiction,7,7077
619,Wag the Dog,43057470,64252038,15000000,Dec 25 1997,R,Adapted screenplay,Drama,Fiction,7,36092
620,Dear John,80014842,112014842,25000000,Feb 05 2010,PG/PG-13,Adapted screenplay,Drama,Fiction,7,246
621,Mean Girls,86047227,128947227,18000000,Apr 30 2004,PG/PG-13,Adapted screenplay,Comedy,Fiction,7,63607
622,Yes Man,97690976,225990976,50000000,Dec 19 2008,PG/PG-13,Adapted screenplay,Comedy,Fiction,7,62150
623,Troy,133298577,497398577,150000000,May 14 2004,R,Adapted screenplay,Action/Adventure,Fiction,7,129575
624,Blade,70141876,131237688,45000000,Aug 21 1998,R,Adapted screenplay,Action/Adventure,Fiction,7,64896
625,Men in Black,250690539,587790539,90000000,Jul 01 1997,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7,119704
626,Real Women Have Curves,5853194,5853194,3000000,Oct 18 2002,PG/PG-13,Adapted screenplay,Comedy,Fiction,7,4396
627,8 femmes,3076425,42376425,8000000,Sep 20 2002,R,Adapted screenplay,Western/Musical,Fiction,7,13631
628,Man cheng jin dai huang jin jia,6566773,75566773,45000000,Dec 21 2006,R,Adapted screenplay,Action/Adventure,Fiction,7,17975
629,Stonewall,304602,304602,2000000,Jul 26 1996,R,Adapted screenplay,Drama,Non-Fiction,7,741
630,Saints and Soldiers,1310470,1310470,780000,Aug 06 2004,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,7,7581
631,Becoming Jane,18663911,37304637,16500000,Aug 03 2007,PG/PG-13,Adapted screenplay,Comedy,Non-Fiction,7,15167
632,Grease,305260,206005260,6000000,Jun 16 1978,PG/PG-13,Adapted screenplay,Western/Musical,Fiction,7,60146
633,Pirates of the Caribbean: At World's End,309420425,960996492,300000000,May 25 2007,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7,133241
634,The Chumscrubber,49526,49526,6800000,Aug 05 2005,R,Original Screenplay,Drama,Fiction,7,10449
635,Mutual Appreciation,103509,103509,30000,Sep 01 2006,R,Original Screenplay,Comedy,Fiction,7,1102
636,The Business of Fancy Dancing,174682,174682,200000,May 10 2002,Other,Original Screenplay,Drama,Fiction,7,355
637,MirrorMask,864959,864959,4000000,Sep 30 2005,PG/PG-13,Original Screenplay,Drama,Fiction,7,10398
638,Igby Goes Down,4777465,4777465,9000000,Sep 13 2002,R,Original Screenplay,Comedy,Fiction,7,19050
639,Kundun,5686694,5686694,28000000,Dec 25 1997,PG/PG-13,Original Screenplay,Drama,Non-Fiction,7,10248
640,Harsh Times,3337931,5963961,2000000,Nov 10 2006,R,Original Screenplay,Drama,Fiction,7,26347
641,Thirteen,4601043,6302406,2000000,Aug 20 2003,R,Original Screenplay,Drama,Fiction,7,31482
642,Saved!,8886160,10102511,5000000,May 28 2004,PG/PG-13,Original Screenplay,Comedy,Fiction,7,22784
643,The Cooler,8291572,10464788,4000000,Nov 26 2003,R,Original Screenplay,Drama,Fiction,7,19072
644,Sukkar banat,1060591,14253760,1600000,Feb 01 2008,PG/PG-13,Original Screenplay,Comedy,Fiction,7,3799
645,Eve's Bayou,14843425,14843425,5000000,Nov 07 1997,R,Original Screenplay,Drama,Fiction,7,4509
646,Ulee's Gold,9054736,15600000,2700000,Jun 13 1997,R,Original Screenplay,Drama,Fiction,7,4041
647,The Girl Next Door,14589444,18589444,25000000,Apr 09 2004,R,Original Screenplay,Comedy,Fiction,7,5614
648,Desperado,25532388,25532388,7000000,Aug 25 1995,R,Original Screenplay,Action/Adventure,Fiction,7,51515
649,The Upside of Anger,18761993,27361993,12000000,Mar 11 2005,R,Original Screenplay,Drama,Fiction,7,12317
650,Friday,27467564,27936778,3500000,Apr 26 1995,R,Original Screenplay,Comedy,Fiction,7,21623
651,Zack and Miri Make a Porno,31452765,36851125,24000000,Oct 31 2008,R,Original Screenplay,Comedy,Fiction,7,55687
652,One Hour Photo,31597131,52223306,12000000,Aug 21 2002,R,Original Screenplay,Drama,Fiction,7,42134
653,Pitch Black,39235088,53182088,23000000,Feb 18 2000,R,Original Screenplay,Horror/Thriller,Fiction,7,55217
654,We Own the Night,28563179,54700285,28000000,Oct 12 2007,R,Original Screenplay,Drama,Fiction,7,38163
655,Street Kings,26415649,65589243,20000000,Apr 11 2008,R,Original Screenplay,Horror/Thriller,Fiction,7,40291
656,Old School,75155000,86325829,24000000,Feb 21 2003,R,Original Screenplay,Comedy,Fiction,7,60477
657,Anchorman: The Legend of Ron Burgundy,84136909,89366354,25000000,Jul 09 2004,PG/PG-13,Original Screenplay,Comedy,Fiction,7,78249
658,Disturbia,80209692,117573043,20000000,Apr 13 2007,PG/PG-13,Original Screenplay,Horror/Thriller,Fiction,7,72231
659,Surf's Up,58867694,145395745,100000000,Jun 08 2007,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,7,20974
